Time,Hour,0x00,0x01,QoS
1,2020-10-30T11:50:54-07:00,0,0,0
2,2020-10-30T11:50:55-07:00,0,0,0
3,2020-10-30T11:50:56-07:00,0,0,0
4,2020-10-30T11:50:57-07:00,0,0,0
5,2020-10-30T11:50:58-07:00,0,0,0
6,2020-10-30T11:50:59-07:00,0,0,0
7,2020-10-30T11:51:00-07:00,0,0,0
8,2020-10-30T11:51:01-07:00,0,0,0
9,2020-10-30T11:51:02-07:00,0,0,0
10,2020-10-30T11:51:03-07:00,0,0,0
11,2020-10-30T11:51:04-07:00,0,0,0
12,2020-10-30T11:51:05-07:00,0,0,0
13,2020-10-30T11:51:06-07:00,0,0,0
14,2020-10-30T11:51:07-07:00,0,0,0
15,2020-10-30T11:51:08-07:00,0,0,0
16,2020-10-30T11:51:09-07:00,0,0,0
17,2020-10-30T11:51:10-07:00,0,0,0
18,2020-10-30T11:51:11-07:00,0,0,0
19,2020-10-30T11:51:12-07:00,0,0,0
20,2020-10-30T11:51:13-07:00,0,0,0
21,2020-10-30T11:51:14-07:00,0,0,0
22,2020-10-30T11:51:15-07:00,0,0,0
23,2020-10-30T11:51:16-07:00,0,0,0
24,2020-10-30T11:51:17-07:00,0,0,0
25,2020-10-30T11:51:18-07:00,0,0,0
26,2020-10-30T11:51:19-07:00,0,0,0
27,2020-10-30T11:51:20-07:00,0,0,0
28,2020-10-30T11:51:21-07:00,0,0,0
29,2020-10-30T11:51:22-07:00,0.029184,0,0
30,2020-10-30T11:51:23-07:00,0.004864,0,0
31,2020-10-30T11:51:24-07:00,0.0056,0,0
32,2020-10-30T11:51:25-07:00,0.00904,0,0
33,2020-10-30T11:51:26-07:00,0.004864,0,0
34,2020-10-30T11:51:27-07:00,0.004864,0,0
35,2020-10-30T11:51:28-07:00,0.004864,0,0
36,2020-10-30T11:51:29-07:00,0.004864,0,0
37,2020-10-30T11:51:30-07:00,0.004864,0,0
38,2020-10-30T11:51:31-07:00,0.004864,0,1.084
39,2020-10-30T11:51:32-07:00,0.00776,0,16.320704
40,2020-10-30T11:51:33-07:00,0.004864,0,16.138592
41,2020-10-30T11:51:34-07:00,0.004864,0,16.199296
42,2020-10-30T11:51:35-07:00,0.004864,0,16.112576
43,2020-10-30T11:51:36-07:00,0.006112,0,16.684928
44,2020-10-30T11:51:37-07:00,0.004864,0,16.78032
45,2020-10-30T11:51:38-07:00,0.004864,0,16.884384
46,2020-10-30T11:51:39-07:00,0.004864,0,16.797664
47,2020-10-30T11:51:40-07:00,0.004864,0,16.320704
48,2020-10-30T11:51:41-07:00,0.004864,0,16.858368
49,2020-10-30T11:51:42-07:00,0.004864,0,17.049152
50,2020-10-30T11:51:43-07:00,0.004864,0,15.8264
51,2020-10-30T11:51:44-07:00,0.0056,0,16.667584
52,2020-10-30T11:51:45-07:00,0.0056,0,16.225312
53,2020-10-30T11:51:46-07:00,0.004864,0,16.719616
54,2020-10-30T11:51:47-07:00,0.006456,0,16.43344
55,2020-10-30T11:51:48-07:00,0.004864,0,16.849696
56,2020-10-30T11:51:49-07:00,0.004864,0,17.378688
57,2020-10-30T11:51:50-07:00,0.006208,0,16.181952
58,2020-10-30T11:51:51-07:00,0.005536,0,16.841024
59,2020-10-30T11:51:52-07:00,0.004864,0,16.832352
60,2020-10-30T11:51:53-07:00,0.004864,0,17.222592
61,2020-10-30T11:51:54-07:00,0.0056,0,17.413376
62,2020-10-30T11:51:55-07:00,0.008464,0,20.483264
63,2020-10-30T11:51:56-07:00,0.004864,0,22.313056
64,2020-10-30T11:51:57-07:00,0.004864,0,20.656704
65,2020-10-30T11:51:58-07:00,0.004864,0,21.012256
66,2020-10-30T11:51:59-07:00,0.004864,0,21.341792
67,2020-10-30T11:52:00-07:00,0.005488,0,19.68544
68,2020-10-30T11:52:01-07:00,0.004864,0,21.20304
69,2020-10-30T11:52:02-07:00,0.004864,0,21.124992
70,2020-10-30T11:52:03-07:00,0.004864,0,19.68544
71,2020-10-30T11:52:04-07:00,0.009776,0,20.847488
72,2020-10-30T11:52:05-07:00,0.004864,0,20.8128
73,2020-10-30T11:52:06-07:00,0.004864,0,21.28976
74,2020-10-30T11:52:07-07:00,0.004864,0,20.665376
75,2020-10-30T11:52:08-07:00,0.004864,0,21.220384
76,2020-10-30T11:52:09-07:00,0.004864,0,21.905472
77,2020-10-30T11:52:10-07:00,0.004864,0,21.324448
78,2020-10-30T11:52:11-07:00,0.004864,0,20.084352
79,2020-10-30T11:52:12-07:00,0.004864,0,20.223104
80,2020-10-30T11:52:13-07:00,0.004864,0,20.717408
81,2020-10-30T11:52:14-07:00,0.009856,0,20.960224
82,2020-10-30T11:52:15-07:00,0.004864,0,19.182464
83,2020-10-30T11:52:16-07:00,0.004864,0,20.916864
84,2020-10-30T11:52:17-07:00,0.004864,0,19.7288
85,2020-10-30T11:52:18-07:00,0.004864,0,20.838816
86,2020-10-30T11:52:19-07:00,0.004864,0,20.94288
87,2020-10-30T11:52:20-07:00,0.004864,0,21.020928
88,2020-10-30T11:52:21-07:00,0.004864,0,21.20304
89,2020-10-30T11:52:22-07:00,0.004864,0,21.064288
90,2020-10-30T11:52:23-07:00,0.004864,0,21.194368
91,2020-10-30T11:52:24-07:00,0.008512,0,21.645312
92,2020-10-30T11:52:25-07:00,0.007456,0,20.778112
93,2020-10-30T11:52:26-07:00,0.004864,0,20.327168
94,2020-10-30T11:52:27-07:00,0.004864,0,11.976032
95,2020-10-30T11:52:28-07:00,0.004864,0,6.686112
96,2020-10-30T11:52:29-07:00,0.004864,0,7.006976
97,2020-10-30T11:52:30-07:00,0.004864,0,7.41456
98,2020-10-30T11:52:31-07:00,0.004864,0,24.420352
99,2020-10-30T11:52:32-07:00,0.004864,0,20.98624
100,2020-10-30T11:52:33-07:00,0.004864,0,20.50928
101,2020-10-30T11:52:34-07:00,0.009272,0,24.212224
102,2020-10-30T11:52:35-07:00,0.004864,0,18.098464
103,2020-10-30T11:52:36-07:00,0.004864,0,20.058336
104,2020-10-30T11:52:37-07:00,0.004864,0,20.72608
105,2020-10-30T11:52:38-07:00,0.004864,0,20.500608
106,2020-10-30T11:52:39-07:00,0.004864,0,22.304384
107,2020-10-30T11:52:40-07:00,0.004864,0,20.171072
108,2020-10-30T11:52:41-07:00,0.004864,0,20.960224
