Time,Hour,0x00,0x01,QoS Delay
1,2020-10-30T11:50:54-07:00,0,0,0
2,2020-10-30T11:50:55-07:00,0,0,0
3,2020-10-30T11:50:56-07:00,0,0,0
4,2020-10-30T11:50:57-07:00,0,0,0
5,2020-10-30T11:50:58-07:00,0,0,0
6,2020-10-30T11:50:59-07:00,0,0,0
7,2020-10-30T11:51:00-07:00,0,0,0
8,2020-10-30T11:51:01-07:00,0,0,0
9,2020-10-30T11:51:02-07:00,0,0,0
10,2020-10-30T11:51:03-07:00,0,0,0
11,2020-10-30T11:51:04-07:00,0,0,0
12,2020-10-30T11:51:05-07:00,0,0,0
13,2020-10-30T11:51:06-07:00,0,0,0
14,2020-10-30T11:51:07-07:00,0,0,0
15,2020-10-30T11:51:08-07:00,0,0,0
16,2020-10-30T11:51:09-07:00,0,0,0
17,2020-10-30T11:51:10-07:00,0,0,0
18,2020-10-30T11:51:11-07:00,0,0,0
19,2020-10-30T11:51:12-07:00,0,0,0
20,2020-10-30T11:51:13-07:00,0,0,0
21,2020-10-30T11:51:14-07:00,0,0,0
22,2020-10-30T11:51:15-07:00,0,0,0
23,2020-10-30T11:51:16-07:00,0,0,0
24,2020-10-30T11:51:17-07:00,0,0,0
25,2020-10-30T11:51:18-07:00,0,0,0
26,2020-10-30T11:51:19-07:00,0,0,0
27,2020-10-30T11:51:20-07:00,0,0,0
28,2020-10-30T11:51:21-07:00,0,0,0
29,2020-10-30T11:51:22-07:00,0,0,0
30,2020-10-30T11:51:23-07:00,0.064,0,0
31,2020-10-30T11:51:24-07:00,0.041,0,0
32,2020-10-30T11:51:25-07:00,0.054,0,0
33,2020-10-30T11:51:26-07:00,0.018,0,0
34,2020-10-30T11:51:27-07:00,0.042,0,0
35,2020-10-30T11:51:28-07:00,0.026,0,0
36,2020-10-30T11:51:29-07:00,0.035,0,0
37,2020-10-30T11:51:30-07:00,0.035,0,0
38,2020-10-30T11:51:31-07:00,0.028,0,0
39,2020-10-30T11:51:32-07:00,0.042,0,74.108
40,2020-10-30T11:51:33-07:00,11.913,0,221.334
41,2020-10-30T11:51:34-07:00,8.149,0,258.205
42,2020-10-30T11:51:35-07:00,0.549,0,257.385
43,2020-10-30T11:51:36-07:00,0.423,0,254.466
44,2020-10-30T11:51:37-07:00,16.482,0,250.36
45,2020-10-30T11:51:38-07:00,7.565,0,248.779
46,2020-10-30T11:51:39-07:00,7.624,0,250.006
47,2020-10-30T11:51:40-07:00,13.711,0,251.376
48,2020-10-30T11:51:41-07:00,25.109,0,252.213
49,2020-10-30T11:51:42-07:00,9.699,0,248.434
50,2020-10-30T11:51:43-07:00,21.777,0,253.48
51,2020-10-30T11:51:44-07:00,26.782,0,253.53
52,2020-10-30T11:51:45-07:00,20.805,0,256.129
53,2020-10-30T11:51:46-07:00,15.709,0,253.436
54,2020-10-30T11:51:47-07:00,1.048,0,245.332
55,2020-10-30T11:51:48-07:00,12.322,0,253.529
56,2020-10-30T11:51:49-07:00,26.454,0,246.398
57,2020-10-30T11:51:50-07:00,13.181,0,246.152
58,2020-10-30T11:51:51-07:00,14.031,0,252.544
59,2020-10-30T11:51:52-07:00,22.674,0,245.604
60,2020-10-30T11:51:53-07:00,8.779,0,248.327
61,2020-10-30T11:51:54-07:00,3.502,0,243.888
62,2020-10-30T11:51:55-07:00,17.588,0,249.17
63,2020-10-30T11:51:56-07:00,2.344,0,125.038
64,2020-10-30T11:51:57-07:00,0.951,0,3.347
65,2020-10-30T11:51:58-07:00,0.016,0,0.042
66,2020-10-30T11:51:59-07:00,0.057,0,0.033
67,2020-10-30T11:52:00-07:00,0.017,0,0.029
68,2020-10-30T11:52:01-07:00,0.016,0,0.049
69,2020-10-30T11:52:02-07:00,0.038,0,0.065
70,2020-10-30T11:52:03-07:00,0.037,0,0.059
71,2020-10-30T11:52:04-07:00,0.043,0,0.048
72,2020-10-30T11:52:05-07:00,0.024,0,0.046
73,2020-10-30T11:52:06-07:00,0.015,0,0.033
74,2020-10-30T11:52:07-07:00,0.016,0,0.047
75,2020-10-30T11:52:08-07:00,0.015,0,0.032
76,2020-10-30T11:52:09-07:00,0.013,0,0.04
77,2020-10-30T11:52:10-07:00,0.016,0,0.041
78,2020-10-30T11:52:11-07:00,0.014,0,0.028
79,2020-10-30T11:52:12-07:00,0.015,0,0.039
80,2020-10-30T11:52:13-07:00,0.015,0,0.045
81,2020-10-30T11:52:14-07:00,0.018,0,0.036
82,2020-10-30T11:52:15-07:00,0.038,0,0.042
83,2020-10-30T11:52:16-07:00,0.016,0,0.031
84,2020-10-30T11:52:17-07:00,0.015,0,0.065
85,2020-10-30T11:52:18-07:00,0.047,0,0.029
86,2020-10-30T11:52:19-07:00,0.046,0,0.038
87,2020-10-30T11:52:20-07:00,0.016,0,0.039
88,2020-10-30T11:52:21-07:00,0.015,0,0.042
89,2020-10-30T11:52:22-07:00,0.015,0,0.046
90,2020-10-30T11:52:23-07:00,0.015,0,0.048
91,2020-10-30T11:52:24-07:00,0.015,0,0.038
92,2020-10-30T11:52:25-07:00,0.052,0,0.038
93,2020-10-30T11:52:26-07:00,0.019,0,0.035
94,2020-10-30T11:52:27-07:00,0.015,0,0.039
95,2020-10-30T11:52:28-07:00,18.164,0,328.141
96,2020-10-30T11:52:29-07:00,37.957,0,642.792
97,2020-10-30T11:52:30-07:00,2.889,0,668.873
98,2020-10-30T11:52:31-07:00,9.432,0,352.354
99,2020-10-30T11:52:32-07:00,15.41,0,55.753
100,2020-10-30T11:52:33-07:00,0.014,0,0.047
101,2020-10-30T11:52:34-07:00,0.045,0,0.044
102,2020-10-30T11:52:35-07:00,0.029,0,0.035
103,2020-10-30T11:52:36-07:00,0.014,0,0.04
104,2020-10-30T11:52:37-07:00,0.015,0,0.056
105,2020-10-30T11:52:38-07:00,0.015,0,0.047
106,2020-10-30T11:52:39-07:00,0.015,0,0.042
107,2020-10-30T11:52:40-07:00,0.025,0,0.044
108,2020-10-30T11:52:41-07:00,0.014,0,0.057
109,2020-10-30T11:52:42-07:00,0.015,0,0.043
110,2020-10-30T11:52:43-07:00,0.057,0,0.041
111,2020-10-30T11:52:44-07:00,0.017,0,0.037
112,2020-10-30T11:52:45-07:00,0.071,0,0.032
113,2020-10-30T11:52:46-07:00,0.049,0,0.065
