Time,Hour,Throughput BE,Throughput QoS,Shaper BE
1,2020-10-30T11:41:08-07:00,0,0,100
2,2020-10-30T11:41:09-07:00,0,0,100
3,2020-10-30T11:41:10-07:00,0,0,100
4,2020-10-30T11:41:11-07:00,0,0,100
5,2020-10-30T11:41:12-07:00,0,0,100
6,2020-10-30T11:41:13-07:00,0,0,100
7,2020-10-30T11:41:14-07:00,0,0,100
8,2020-10-30T11:41:15-07:00,0,0,100
9,2020-10-30T11:41:16-07:00,0,0,100
10,2020-10-30T11:41:17-07:00,0,0,100
11,2020-10-30T11:41:18-07:00,0,0,100
12,2020-10-30T11:41:19-07:00,0,0,100
13,2020-10-30T11:41:20-07:00,0,0,100
14,2020-10-30T11:41:21-07:00,0,0,100
15,2020-10-30T11:41:22-07:00,0,0,100
16,2020-10-30T11:41:23-07:00,0,0,100
17,2020-10-30T11:41:24-07:00,0,0,100
18,2020-10-30T11:41:25-07:00,0,0,100
19,2020-10-30T11:41:26-07:00,0,0,100
20,2020-10-30T11:41:27-07:00,0,0,100
21,2020-10-30T11:41:28-07:00,0,0,100
22,2020-10-30T11:41:29-07:00,0,0,100
23,2020-10-30T11:41:30-07:00,0,0,100
24,2020-10-30T11:41:31-07:00,0,0,100
25,2020-10-30T11:41:32-07:00,0,0,100
26,2020-10-30T11:41:33-07:00,0,0,100
27,2020-10-30T11:41:34-07:00,0,0,100
28,2020-10-30T11:41:35-07:00,0,0,100
29,2020-10-30T11:41:36-07:00,0,0,100
30,2020-10-30T11:41:37-07:00,0,0,100
31,2020-10-30T11:41:38-07:00,0,0,100
32,2020-10-30T11:41:39-07:00,0,0,100
33,2020-10-30T11:41:40-07:00,0,0,100
34,2020-10-30T11:41:41-07:00,0,0,100
35,2020-10-30T11:41:42-07:00,0,0,100
36,2020-10-30T11:41:43-07:00,0,0,100
37,2020-10-30T11:41:44-07:00,0,0,100
38,2020-10-30T11:41:45-07:00,0,0,100
39,2020-10-30T11:41:46-07:00,0,0,100
40,2020-10-30T11:41:47-07:00,0,0,100
41,2020-10-30T11:41:48-07:00,0,0,100
42,2020-10-30T11:41:49-07:00,0,0,100
43,2020-10-30T11:41:50-07:00,0,0,100
44,2020-10-30T11:41:51-07:00,0,0,100
45,2020-10-30T11:41:52-07:00,0,0,100
46,2020-10-30T11:41:53-07:00,0,0,100
47,2020-10-30T11:41:54-07:00,0,0,100
48,2020-10-30T11:41:55-07:00,0,0,100
49,2020-10-30T11:41:56-07:00,0,0,100
50,2020-10-30T11:41:57-07:00,0,0,100
51,2020-10-30T11:41:58-07:00,0,0,100
52,2020-10-30T11:41:59-07:00,0,0,100
53,2020-10-30T11:42:00-07:00,0,0,100
54,2020-10-30T11:42:01-07:00,0,0,100
55,2020-10-30T11:42:02-07:00,0,0,100
