queue_delay,packet_loss
1604083310.171998422,0.000000,0
1604083311.172386106,0.000000,0
1604083312.172725644,0.000000,0
1604083313.173047740,0.000000,0
1604083314.173324041,0.000000,0
1604083315.173656140,0.000000,0
1604083316.173959926,0.000000,0
1604083317.174259122,0.000000,0
1604083318.174523800,0.000000,0
1604083319.174793795,0.000000,0
1604083320.175101698,0.000000,0
1604083321.175422214,0.000000,0
1604083322.175803362,0.000000,0
1604083323.176114344,0.000000,0
1604083324.176391124,0.000000,0
1604083325.176660721,0.000000,0
1604083326.176941930,0.000000,0
1604083327.177232975,0.000000,0
1604083328.177523020,0.000000,0
1604083329.177813012,0.000000,0
1604083330.178035283,0.000005772,0
1604083331.178272927,0.000005250,0
1604083332.178556978,0.000005691,0
1604083333.178778094,0.000005330,0
1604083334.179017923,0.000005180,0
1604083335.179268962,0.000005715,0
1604083336.179541027,0.000005271,0
1604083337.179808006,0.000005266,0
1604083338.180057492,0.000005276,0
1604083339.180260652,0.000002193,0
1604083340.180457301,0.000005255,0
1604083341.180752158,0.000005213,0
1604083342.180987059,0.000005282,0
1604083343.181272057,0.000005225,0
1604083344.181558099,0.000005243,0
1604083345.181813369,0.000005417,0
1604083346.182056348,0.000005260,0
1604083347.182336851,0.000005260,0
1604083348.182570600,0.000005298,0
1604083349.182793243,0.000005304,0
1604083350.183059076,0.000002856,0
1604083351.183297876,0.000002847,0
1604083352.183541015,0.000005398,0
1604083353.183924970,0.000005435,0
1604083354.184197227,0.000002496,0
1604083355.184401694,0.000002910,0
1604083356.184663107,0.000008073,0
1604083357.184943209,0.000005442,0
1604083358.185239370,0.000005392,0
1604083359.185547923,0.000005401,0
1604083360.185847498,0.000005376,0
1604083361.186191890,0.000005412,0
1604083362.186444898,0.000005489,0
1604083363.186774499,0.000005305,0
1604083364.186988828,0.000002537,0
1604083365.187128252,0.000002511,0
1604083366.187299938,0.000002833,0
1604083367.187430793,0.000002240,0
1604083368.187806683,0.000006154,0
1604083369.191453947,0.000002546,0
1604083370.191695547,0.000002841,0
1604083371.191940148,0.000002872,0
1604083372.192271489,0.000007566,0
1604083373.192993937,0.000003185,0
1604083374.197578730,0.000002519,0
1604083375.197843169,0.000002764,0
1604083376.198066054,0.000002562,0
1604083377.198375049,0.000002571,0
1604083378.198664322,0.000003388,0
1604083379.201783384,0.000002475,0
1604083380.202041288,0.000002504,0
1604083381.202338822,0.000005339,0
1604083382.202563986,0.000005308,0
1604083383.202805779,0.000005409,0
1604083384.203120644,0.000005420,0
1604083385.203422343,0.000005356,0
1604083386.203801095,0.000005356,0
1604083387.204012886,0.000007004,0
1604083388.204222713,0.000002903,0
1604083389.204410447,0.000002541,0
1604083390.204586513,0.000002921,0
1604083391.204840928,0.000006641,0
1604083392.205131342,0.000002860,0
1604083393.205450512,0.000003353,0
1604083394.205679478,0.000002867,0
1604083395.205923220,0.000002240,0
1604083396.206075536,0.000002384,0
1604083397.206250533,0.000005849,0
1604083398.206541009,0.000005401,0
1604083399.206839518,0.000005348,0
1604083400.207153895,0.000005356,0
1604083401.207482177,0.000005395,0
1604083402.207743346,0.000003224,0
1604083403.208116824,0.000005292,0
1604083404.208395727,0.000005316,0
1604083405.208634405,0.000005368,0
1604083406.208938857,0.000005350,0
1604083407.209244823,0.000005378,0
1604083408.209517638,0.000005863,0
1604083409.209886744,0.000005383,0
1604083410.210167310,0.000005461,0
1604083411.210397299,0.000005309,0
1604083412.210731616,0.000005358,0
1604083413.210979762,0.000002959,0
1604083414.214206527,0.000002551,0
1604083415.214425999,0.000002888,0
1604083416.214691521,0.000002936,0
1604083417.214998722,0.000003186,0
1604083418.215318586,0.000002540,0
1604083419.220205877,0.000009175,0
1604083420.220682802,0.000002519,0
1604083421.220911484,0.000002550,0
1604083422.221173845,0.000002879,0
1604083423.221445294,0.000003306,0
1604083424.224637898,0.000005866,0
1604083425.224956112,0.000005607,0
1604083426.225354708,0.000005462,0
1604083427.225615910,0.000005369,0
1604083428.225926958,0.000005339,0
1604083429.226391738,0.000005268,0
1604083430.226680810,0.000005334,0
1604083431.226982117,0.000005305,0
1604083432.227232880,0.000005402,0
1604083433.227554395,0.000005371,0
1604083434.227896607,0.000005305,0
1604083435.228139442,0.000005785,0
1604083436.228520102,0.000005356,0
1604083437.228808663,0.000005419,0
1604083438.229047421,0.000005474,0
1604083439.229281524,0.000005351,0
1604083440.229613265,0.000005725,0
1604083441.229882778,0.000005424,0
1604083442.230164486,0.000005337,0
1604083443.230428391,0.000005326,0
1604083444.230707657,0.000005415,0
1604083445.230973138,0.000005447,0
1604083446.231281443,0.000005343,0
1604083447.231574369,0.000005384,0
1604083448.231796714,0.000002835,0
1604083449.231986588,0.000002543,0
1604083450.232125731,0.000002201,0
1604083451.232386623,0.000002856,0
1604083452.235625429,0.000002896,0
1604083453.235865674,0.000003428,0
1604083454.236204538,0.000002696,0
1604083455.236435060,0.000005422,0
1604083456.236785980,0.000005438,0
1604083457.237031520,0.000005409,0
1604083458.237300107,0.000005441,0
1604083459.237634201,0.000005382,0
1604083460.237873398,0.000002409,0
1604083461.238041734,0.000005381,0
1604083462.238346391,0.000005312,0
1604083463.238675742,0.000005382,0
1604083464.238981008,0.000005360,0
1604083465.239287561,0.000005422,0
1604083466.239621640,0.000005502,0
1604083467.239878320,0.000005422,0
1604083468.240176563,0.000005318,0
1604083469.240452666,0.000005400,0
1604083470.240748869,0.000005381,0
1604083471.241086450,0.000005358,0
1604083472.241445093,0.000005383,0
1604083473.241690708,0.000005859,0
1604083474.241923719,0.000006377,0
1604083475.242270847,0.000002528,0
1604083476.242507372,0.000002935,0
1604083477.242725312,0.000002573,0
1604083478.243265292,0.000010288,0
1604083479.243688928,0.000002586,0
1604083480.243963702,0.000003854,0
1604083481.246489898,0.000002212,0
1604083482.246725019,0.000005277,0
1604083483.246964072,0.000005358,0
1604083484.247281742,0.000005398,0
1604083485.247516067,0.000005357,0
1604083486.247845008,0.000005399,0
1604083487.248107511,0.000005407,0
1604083488.248397668,0.000005387,0
1604083489.248621536,0.000005417,0
1604083490.248857112,0.000005354,0
1604083491.249103972,0.000005369,0
1604083492.249392040,0.000005334,0
1604083493.249656189,0.000005543,0
1604083494.249892398,0.000005397,0
1604083495.250157223,0.000005405,0
1604083496.250454553,0.000005380,0
1604083497.250703074,0.000005453,0
1604083498.250992359,0.000005481,0
1604083499.251246556,0.000005345,0
1604083500.251513869,0.000007817,0
1604083501.251967258,0.000005394,0
1604083502.252293116,0.000005351,0
1604083503.252565128,0.000005345,0
1604083504.252844588,0.000005437,0
1604083505.253079220,0.000005319,0
1604083506.253378856,0.000005774,0
1604083507.253664421,0.000005395,0
1604083508.253924676,0.000005328,0
1604083509.254227268,0.000005437,0
1604083510.254544827,0.000005429,0
1604083511.254959906,0.000002779,0
1604083512.255216454,0.000005436,0
1604083513.255631560,0.000005309,0
1604083514.256108001,0.000005329,0
