Time,Hour,STA1
10,2020-10-30T11:42:12-07:00,100
20,2020-10-30T11:42:22-07:00,100
30,2020-10-30T11:42:32-07:00,100
40,2020-10-30T11:42:42-07:00,100
50,2020-10-30T11:42:52-07:00,100
60,2020-10-30T11:43:02-07:00,100
70,2020-10-30T11:43:12-07:00,100
80,2020-10-30T11:43:22-07:00,100
90,2020-10-30T11:43:32-07:00,100
100,2020-10-30T11:43:42-07:00,100
110,2020-10-30T11:43:52-07:00,100
120,2020-10-30T11:44:02-07:00,100
130,2020-10-30T11:44:12-07:00,100
140,2020-10-30T11:44:22-07:00,100
150,2020-10-30T11:44:32-07:00,100
160,2020-10-30T11:44:42-07:00,100
170,2020-10-30T11:44:52-07:00,100
180,2020-10-30T11:45:02-07:00,100
190,2020-10-30T11:45:12-07:00,100
200,2020-10-30T11:45:22-07:00,100
210,2020-10-30T11:45:32-07:00,100
220,2020-10-30T11:45:42-07:00,100
230,2020-10-30T11:45:52-07:00,100
240,2020-10-30T11:46:02-07:00,100
250,2020-10-30T11:46:12-07:00,100
260,2020-10-30T11:46:22-07:00,100
270,2020-10-30T11:46:32-07:00,100
280,2020-10-30T11:46:42-07:00,100
290,2020-10-30T11:46:52-07:00,100
300,2020-10-30T11:47:02-07:00,100
310,2020-10-30T11:47:12-07:00,100
320,2020-10-30T11:47:22-07:00,100
330,2020-10-30T11:47:32-07:00,100
340,2020-10-30T11:47:42-07:00,100
350,2020-10-30T11:47:52-07:00,100
360,2020-10-30T11:48:02-07:00,100
370,2020-10-30T11:48:12-07:00,100
