queue_delay,packet_loss
1604084535.705144886,0.000000,0
1604084536.705599631,0.000000,0
1604084537.705961410,0.000000,0
1604084538.706269702,0.000000,0
1604084539.706593693,0.000000,0
1604084540.707403299,0.000000,0
1604084541.707647557,0.000000,0
1604084542.707961753,0.000000,0
1604084543.708229925,0.000000,0
1604084544.708465610,0.000000,0
1604084545.708700511,0.000000,0
1604084546.708977425,0.000000,0
1604084547.709251407,0.000000,0
1604084548.709562605,0.000000,0
1604084549.709846890,0.000000,0
1604084550.710612180,0.000000,0
1604084551.710872898,0.000000,0
1604084552.711102722,0.000000,0
1604084553.711330021,0.000000,0
1604084554.711607572,0.000000,0
1604084555.711859266,0.000000,0
1604084556.712081103,0.000000,0
1604084557.712305823,0.000000,0
1604084558.712594461,0.000000,0
1604084559.712816242,0.000000,0
1604084560.713085183,0.000000,0
1604084561.713337507,0.000005790,0
1604084562.713587066,0.000005682,0
1604084563.713833341,0.000006628,0
1604084564.714068147,0.000006344,0
1604084565.714295353,0.000005591,0
1604084566.714523702,0.000005556,0
1604084567.714750619,0.000005612,0
1604084568.714978974,0.000006039,0
1604084569.715235618,0.000005728,0
1604084570.715477033,0.000005533,0
1604084571.715737498,0.000005660,0
1604084572.716028030,0.000005762,0
1604084573.716278334,0.000005658,0
1604084574.716544649,0.000005658,0
1604084575.716768496,0.000005743,0
1604084576.716989410,0.000005742,0
1604084577.717237799,0.000005611,0
1604084578.717506051,0.000005823,0
1604084579.717807185,0.000005669,0
1604084580.718059739,0.000005780,0
1604084581.718313194,0.000005649,0
1604084582.718544402,0.000006036,0
1604084583.718881212,0.000005591,0
1604084584.719170665,0.000005471,0
1604084585.719410038,0.000005711,0
1604084586.719683347,0.000006095,0
1604084587.719910633,0.000005601,0
1604084588.720161133,0.000005690,0
1604084589.720454163,0.000005574,0
1604084590.720752130,0.000005623,0
1604084591.721030868,0.000006079,0
1604084592.721256323,0.000005711,0
1604084593.721531622,0.000005747,0
1604084594.721786174,0.000005788,0
1604084595.722066458,0.000005670,0
1604084596.722339440,0.000005434,0
1604084597.722656544,0.000005539,0
1604084598.722922512,0.000005569,0
1604084599.723187472,0.000005487,0
1604084600.723436759,0.000005558,0
1604084601.723769353,0.000005585,0
1604084602.724037348,0.000005657,0
1604084603.724277725,0.000005718,0
1604084604.724527428,0.000005566,0
1604084605.724800216,0.000005586,0
1604084606.725060479,0.000005501,0
1604084607.725422325,0.000005592,0
1604084608.725702814,0.000008163,0
1604084609.726054275,0.000005537,0
1604084610.726324268,0.000007984,0
1604084611.726561106,0.000006422,0
1604084612.726830380,0.000005632,0
1604084613.727270200,0.000007050,0
1604084614.727510478,0.000005660,0
1604084615.727772508,0.000005637,0
1604084616.727995642,0.000005559,0
1604084617.728253102,0.000005453,0
1604084618.728485517,0.000005475,0
1604084619.728728610,0.000006027,0
1604084620.728961492,0.000005628,0
1604084621.729214403,0.000005527,0
1604084622.729439437,0.000005567,0
1604084623.729731221,0.000005688,0
