Time,Hour,0x00,0x01,0x02
1,2020-10-30T12:01:59-07:00,12000,12000,12000
2,2020-10-30T12:02:00-07:00,12000,12000,12000
3,2020-10-30T12:02:01-07:00,12000,12000,12000
4,2020-10-30T12:02:02-07:00,12000,12000,12000
5,2020-10-30T12:02:03-07:00,12000,12000,12000
6,2020-10-30T12:02:04-07:00,12000,12000,12000
7,2020-10-30T12:02:05-07:00,12000,12000,12000
8,2020-10-30T12:02:06-07:00,12000,12000,12000
9,2020-10-30T12:02:07-07:00,12000,12000,12000
10,2020-10-30T12:02:08-07:00,12000,12000,12000
11,2020-10-30T12:02:09-07:00,12000,12000,12000
12,2020-10-30T12:02:10-07:00,12000,12000,12000
13,2020-10-30T12:02:11-07:00,12000,12000,12000
14,2020-10-30T12:02:12-07:00,12000,12000,12000
15,2020-10-30T12:02:13-07:00,12000,12000,12000
16,2020-10-30T12:02:14-07:00,12000,12000,12000
17,2020-10-30T12:02:15-07:00,12000,12000,12000
18,2020-10-30T12:02:16-07:00,12000,12000,12000
19,2020-10-30T12:02:17-07:00,12000,12000,12000
20,2020-10-30T12:02:18-07:00,12000,12000,12000
21,2020-10-30T12:02:19-07:00,12000,12000,12000
22,2020-10-30T12:02:20-07:00,12000,12000,12000
23,2020-10-30T12:02:21-07:00,12000,12000,12000
24,2020-10-30T12:02:22-07:00,12000,12000,12000
25,2020-10-30T12:02:23-07:00,12000,12000,12000
26,2020-10-30T12:02:24-07:00,12000,12000,12000
27,2020-10-30T12:02:25-07:00,12000,12000,12000
28,2020-10-30T12:02:26-07:00,12000,12000,12000
29,2020-10-30T12:02:27-07:00,12000,12000,12000
30,2020-10-30T12:02:28-07:00,12000,12000,12000
31,2020-10-30T12:02:29-07:00,12000,12000,12000
32,2020-10-30T12:02:30-07:00,12000,12000,12000
33,2020-10-30T12:02:31-07:00,12000,12000,12000
34,2020-10-30T12:02:32-07:00,12000,12000,12000
35,2020-10-30T12:02:33-07:00,12000,12000,12000
36,2020-10-30T12:02:34-07:00,12000,12000,12000
37,2020-10-30T12:02:35-07:00,12000,12000,12000
38,2020-10-30T12:02:36-07:00,12000,12000,12000
39,2020-10-30T12:02:37-07:00,12000,12000,12000
40,2020-10-30T12:02:38-07:00,12000,12000,12000
41,2020-10-30T12:02:39-07:00,12000,12000,12000
42,2020-10-30T12:02:40-07:00,12000,1200,12000
43,2020-10-30T12:02:41-07:00,12000,1200,12000
44,2020-10-30T12:02:42-07:00,12000,1200,12000
45,2020-10-30T12:02:43-07:00,12000,1200,12000
46,2020-10-30T12:02:44-07:00,12000,1200,12000
47,2020-10-30T12:02:45-07:00,12000,120,12000
48,2020-10-30T12:02:46-07:00,12000,120,12000
49,2020-10-30T12:02:47-07:00,12000,120,12000
50,2020-10-30T12:02:48-07:00,12000,120,12000
51,2020-10-30T12:02:49-07:00,12000,120,12000
52,2020-10-30T12:02:50-07:00,12000,12,12000
53,2020-10-30T12:02:51-07:00,12000,12,12000
54,2020-10-30T12:02:52-07:00,12000,12,12000
55,2020-10-30T12:02:53-07:00,12000,12,12000
56,2020-10-30T12:02:54-07:00,12000,12,12000
57,2020-10-30T12:02:55-07:00,12000,10,12000
58,2020-10-30T12:02:56-07:00,12000,10,12000
59,2020-10-30T12:02:57-07:00,12000,10,12000
60,2020-10-30T12:02:58-07:00,12000,10,12000
61,2020-10-30T12:02:59-07:00,12000,10,12000
62,2020-10-30T12:03:00-07:00,12000,11,12000
63,2020-10-30T12:03:01-07:00,12000,11,12000
64,2020-10-30T12:03:02-07:00,12000,11,12000
65,2020-10-30T12:03:03-07:00,12000,11,12000
66,2020-10-30T12:03:04-07:00,12000,11,12000
67,2020-10-30T12:03:05-07:00,12000,12,12000
68,2020-10-30T12:03:06-07:00,12000,12,12000
69,2020-10-30T12:03:07-07:00,12000,12,12000
70,2020-10-30T12:03:08-07:00,12000,12,12000
71,2020-10-30T12:03:09-07:00,12000,12,12000
72,2020-10-30T12:03:10-07:00,12000,13,12000
73,2020-10-30T12:03:11-07:00,12000,13,12000
74,2020-10-30T12:03:12-07:00,12000,13,12000
75,2020-10-30T12:03:13-07:00,12000,13,12000
76,2020-10-30T12:03:14-07:00,12000,13,12000
77,2020-10-30T12:03:15-07:00,12000,14,12000
78,2020-10-30T12:03:16-07:00,12000,14,12000
79,2020-10-30T12:03:17-07:00,12000,14,12000
80,2020-10-30T12:03:18-07:00,12000,14,12000
81,2020-10-30T12:03:19-07:00,12000,14,12000
82,2020-10-30T12:03:20-07:00,12000,10,12000
83,2020-10-30T12:03:21-07:00,12000,10,12000
84,2020-10-30T12:03:22-07:00,12000,10,12000
85,2020-10-30T12:03:23-07:00,12000,10,12000
86,2020-10-30T12:03:24-07:00,12000,10,12000
87,2020-10-30T12:03:25-07:00,12000,10,12000
88,2020-10-30T12:03:26-07:00,12000,10,12000
89,2020-10-30T12:03:27-07:00,12000,10,12000
90,2020-10-30T12:03:28-07:00,12000,10,12000
91,2020-10-30T12:03:29-07:00,12000,10,12000
92,2020-10-30T12:03:30-07:00,12000,11,12000
93,2020-10-30T12:03:31-07:00,12000,11,12000
94,2020-10-30T12:03:32-07:00,12000,11,12000
95,2020-10-30T12:03:33-07:00,12000,11,12000
96,2020-10-30T12:03:34-07:00,12000,11,12000
97,2020-10-30T12:03:35-07:00,12000,10,12000
98,2020-10-30T12:03:36-07:00,12000,10,12000
99,2020-10-30T12:03:37-07:00,12000,10,12000
100,2020-10-30T12:03:38-07:00,12000,10,12000
101,2020-10-30T12:03:39-07:00,12000,10,12000
102,2020-10-30T12:03:40-07:00,12000,11,12000
103,2020-10-30T12:03:41-07:00,12000,11,12000
104,2020-10-30T12:03:42-07:00,12000,11,12000
