Time,Hour,STA 2,STA 1
1,2020-10-30T12:01:59-07:00,0,0
2,2020-10-30T12:02:00-07:00,0,0
3,2020-10-30T12:02:01-07:00,0,0
4,2020-10-30T12:02:02-07:00,0,0
5,2020-10-30T12:02:03-07:00,0,0
6,2020-10-30T12:02:04-07:00,0,0
7,2020-10-30T12:02:05-07:00,0,0
8,2020-10-30T12:02:06-07:00,0,0
9,2020-10-30T12:02:07-07:00,0,0
10,2020-10-30T12:02:08-07:00,0,0
11,2020-10-30T12:02:09-07:00,0,0
12,2020-10-30T12:02:10-07:00,0,0
13,2020-10-30T12:02:11-07:00,0,0
14,2020-10-30T12:02:12-07:00,0,0
15,2020-10-30T12:02:13-07:00,0,0
16,2020-10-30T12:02:14-07:00,0,0
17,2020-10-30T12:02:15-07:00,0,0
18,2020-10-30T12:02:16-07:00,0,0
19,2020-10-30T12:02:17-07:00,0,0
20,2020-10-30T12:02:18-07:00,0,0
21,2020-10-30T12:02:19-07:00,0,0
22,2020-10-30T12:02:20-07:00,0,0
23,2020-10-30T12:02:21-07:00,0,0
24,2020-10-30T12:02:22-07:00,0,0
25,2020-10-30T12:02:23-07:00,0,0
26,2020-10-30T12:02:24-07:00,0,0
27,2020-10-30T12:02:25-07:00,0,0
28,2020-10-30T12:02:26-07:00,0,0
29,2020-10-30T12:02:27-07:00,0,0
30,2020-10-30T12:02:28-07:00,0,0
31,2020-10-30T12:02:29-07:00,0,0
32,2020-10-30T12:02:30-07:00,0,0.032167573
33,2020-10-30T12:02:31-07:00,0,0
34,2020-10-30T12:02:32-07:00,0,0.004749696
35,2020-10-30T12:02:33-07:00,0,0.004962144
36,2020-10-30T12:02:34-07:00,0,0.004532809
37,2020-10-30T12:02:35-07:00,0,0.009444916
38,2020-10-30T12:02:36-07:00,0,0
39,2020-10-30T12:02:37-07:00,0,0.004704507
40,2020-10-30T12:02:38-07:00,0,0.004717014
41,2020-10-30T12:02:39-07:00,0,0.004714623
42,2020-10-30T12:02:40-07:00,0,0.004718994
43,2020-10-30T12:02:41-07:00,0,0.004854546
44,2020-10-30T12:02:42-07:00,1.462484797,0.004659862
45,2020-10-30T12:02:43-07:00,1.671148122,0.00489982
46,2020-10-30T12:02:44-07:00,1.69010226,0.004594045
47,2020-10-30T12:02:45-07:00,2.015090087,0.008851924
48,2020-10-30T12:02:46-07:00,1.67602314,0
49,2020-10-30T12:02:47-07:00,1.686166723,0.004733962
50,2020-10-30T12:02:48-07:00,1.897374699,0.00475509
51,2020-10-30T12:02:49-07:00,1.55285487,0.004665493
52,2020-10-30T12:02:50-07:00,1.907683519,0.009175728
53,2020-10-30T12:02:51-07:00,12.49094645,0
54,2020-10-30T12:02:52-07:00,13.56097027,0.004843088
55,2020-10-30T12:02:53-07:00,12.47688651,0.004593114
56,2020-10-30T12:02:54-07:00,13.77686492,0.004881091
57,2020-10-30T12:02:55-07:00,12.9636282,0.004574034
58,2020-10-30T12:02:56-07:00,13.88400234,0.008837779
59,2020-10-30T12:02:57-07:00,14.67731757,0
60,2020-10-30T12:02:58-07:00,13.52566712,0.004629435
61,2020-10-30T12:02:59-07:00,13.01248136,0.004531175
62,2020-10-30T12:03:00-07:00,14.31873741,0.004741882
63,2020-10-30T12:03:01-07:00,13.53233212,0.004863226
64,2020-10-30T12:03:02-07:00,13.64455217,0.004561929
65,2020-10-30T12:03:03-07:00,13.25276303,0.004621114
66,2020-10-30T12:03:04-07:00,13.77148662,0.004823666
67,2020-10-30T12:03:05-07:00,13.46423651,0.004824245
68,2020-10-30T12:03:06-07:00,13.24002186,0.004721622
69,2020-10-30T12:03:07-07:00,13.12364419,0.005189177
70,2020-10-30T12:03:08-07:00,13.06019892,0.004627229
71,2020-10-30T12:03:09-07:00,13.22210326,0.004872713
72,2020-10-30T12:03:10-07:00,12.41755695,0.008435071
73,2020-10-30T12:03:11-07:00,12.25351672,0
74,2020-10-30T12:03:12-07:00,13.25371271,0.00484751
75,2020-10-30T12:03:13-07:00,12.2347055,0.004705849
76,2020-10-30T12:03:14-07:00,12.86333847,0.004737337
77,2020-10-30T12:03:15-07:00,12.15061676,0.008978469
78,2020-10-30T12:03:16-07:00,12.83753172,0
79,2020-10-30T12:03:17-07:00,4.557941978,0.004519568
80,2020-10-30T12:03:18-07:00,2.746756088,0.004664814
81,2020-10-30T12:03:19-07:00,2.433003794,0.004750279
82,2020-10-30T12:03:20-07:00,4.919511418,0.009412684
83,2020-10-30T12:03:21-07:00,13.01222415,0
84,2020-10-30T12:03:22-07:00,13.88659385,0.004918577
85,2020-10-30T12:03:23-07:00,13.28099085,0.004535386
86,2020-10-30T12:03:24-07:00,13.81429224,0.00478975
87,2020-10-30T12:03:25-07:00,13.63375764,0.004540021
88,2020-10-30T12:03:26-07:00,13.24722976,0.004871787
89,2020-10-30T12:03:27-07:00,9.617997242,0.004719967
90,2020-10-30T12:03:28-07:00,4.21047369,0.004660884
91,2020-10-30T12:03:29-07:00,3.626880004,0.004712798
92,2020-10-30T12:03:30-07:00,3.554566149,0.009101693
93,2020-10-30T12:03:31-07:00,12.28235011,0
94,2020-10-30T12:03:32-07:00,13.11874266,0.004552707
95,2020-10-30T12:03:33-07:00,13.0211669,0.004783595
96,2020-10-30T12:03:34-07:00,13.24301442,0.004941981
97,2020-10-30T12:03:35-07:00,12.94894945,0.008599681
98,2020-10-30T12:03:36-07:00,13.56917,0
99,2020-10-30T12:03:37-07:00,14.01358712,0.004986961
100,2020-10-30T12:03:38-07:00,13.48689885,0.004708133
101,2020-10-30T12:03:39-07:00,13.52902435,0.004558644
102,2020-10-30T12:03:40-07:00,13.21396837,0.004869832
103,2020-10-30T12:03:41-07:00,13.33138162,0.004875183
104,2020-10-30T12:03:42-07:00,13.77084304,0.004940221
105,2020-10-30T12:03:43-07:00,12.96977342,0.00471812
106,2020-10-30T12:03:44-07:00,13.16648261,0.004433024
107,2020-10-30T12:03:45-07:00,13.04375891,0.008599944
108,2020-10-30T12:03:46-07:00,12.0370105,0.004795045
109,2020-10-30T12:03:47-07:00,13.67320431,0
110,2020-10-30T12:03:48-07:00,12.50942082,0.004593716
111,2020-10-30T12:03:49-07:00,12.71836367,0.004858452
112,2020-10-30T12:03:50-07:00,12.96247125,0.008492182
113,2020-10-30T12:03:51-07:00,12.21385564,0
114,2020-10-30T12:03:52-07:00,11.88956206,0.004575637
115,2020-10-30T12:03:53-07:00,12.20345031,0.004771219
116,2020-10-30T12:03:54-07:00,12.75249749,0.004859709
117,2020-10-30T12:03:55-07:00,11.77361145,0.004431013
118,2020-10-30T12:03:56-07:00,11.83887885,0.005096642
119,2020-10-30T12:03:57-07:00,11.83166419,0.004440856
120,2020-10-30T12:03:58-07:00,11.54896914,0.004692971
121,2020-10-30T12:03:59-07:00,12.33760576,0.004966243
122,2020-10-30T12:04:00-07:00,11.49109942,0.008753582
123,2020-10-30T12:04:01-07:00,11.81326944,0.000365364
124,2020-10-30T12:04:02-07:00,11.574606,0.004707287
125,2020-10-30T12:04:03-07:00,11.26324427,0.008604826
126,2020-10-30T12:04:04-07:00,11.14378281,0
127,2020-10-30T12:04:05-07:00,11.96556761,0.008908673
128,2020-10-30T12:04:06-07:00,10.36424323,0
129,2020-10-30T12:04:07-07:00,11.12534901,0.008846651
130,2020-10-30T12:04:08-07:00,10.73831598,0
131,2020-10-30T12:04:09-07:00,11.3232868,0.004451188
132,2020-10-30T12:04:10-07:00,10.71803822,0.00482883
133,2020-10-30T12:04:11-07:00,10.82539273,0.005000054
134,2020-10-30T12:04:12-07:00,10.63038418,0.008957599
135,2020-10-30T12:04:13-07:00,10.43621252,0.004636989
136,2020-10-30T12:04:14-07:00,10.47767534,0
137,2020-10-30T12:04:15-07:00,11.00995157,0.009323571
138,2020-10-30T12:04:16-07:00,10.35737341,0
139,2020-10-30T12:04:17-07:00,4.437591971,0.004475764
140,2020-10-30T12:04:18-07:00,2.848094758,0.004624615
141,2020-10-30T12:04:19-07:00,2.663278348,0.00474587
142,2020-10-30T12:04:20-07:00,4.223236769,0.009231032
143,2020-10-30T12:04:21-07:00,13.82291859,0
144,2020-10-30T12:04:22-07:00,13.9598077,0.00481189
145,2020-10-30T12:04:23-07:00,13.26855735,0.004617081
146,2020-10-30T12:04:24-07:00,14.09932903,0.004673381
147,2020-10-30T12:04:25-07:00,13.83411431,0.004830681
148,2020-10-30T12:04:26-07:00,13.71022989,0.004729712
149,2020-10-30T12:04:27-07:00,9.646431109,0.004581981
150,2020-10-30T12:04:28-07:00,4.359918338,0.004697496
151,2020-10-30T12:04:29-07:00,3.738495489,0.004746368
152,2020-10-30T12:04:30-07:00,3.77602178,0.004792493
153,2020-10-30T12:04:31-07:00,13.02647298,0.004776241
154,2020-10-30T12:04:32-07:00,13.44579104,0.004582727
155,2020-10-30T12:04:33-07:00,13.05920414,0.00885624
156,2020-10-30T12:04:34-07:00,13.79451477,0
157,2020-10-30T12:04:35-07:00,14.1222289,0.009204996
158,2020-10-30T12:04:36-07:00,12.70602708,0
159,2020-10-30T12:04:37-07:00,12.28452792,0.004267623
160,2020-10-30T12:04:38-07:00,13.16253728,0.004776918
161,2020-10-30T12:04:39-07:00,13.83176171,0.004919265
162,2020-10-30T12:04:40-07:00,12.88139378,0.00485439
163,2020-10-30T12:04:41-07:00,12.67885971,0.005121728
164,2020-10-30T12:04:42-07:00,13.00032606,0.004900753
165,2020-10-30T12:04:43-07:00,12.44392983,0.00467854
166,2020-10-30T12:04:44-07:00,12.72869878,0.004747696
167,2020-10-30T12:04:45-07:00,12.32003338,0.00484799
168,2020-10-30T12:04:46-07:00,11.99185579,0.009104355
169,2020-10-30T12:04:47-07:00,11.81381827,0
170,2020-10-30T12:04:48-07:00,12.02949489,0.004644895
171,2020-10-30T12:04:49-07:00,11.78688807,0.004742535
172,2020-10-30T12:04:50-07:00,12.04272343,0.004809665
173,2020-10-30T12:04:51-07:00,10.71400447,0.004705325
174,2020-10-30T12:04:52-07:00,11.64348814,0.008979666
175,2020-10-30T12:04:53-07:00,11.01105277,0.004626414
176,2020-10-30T12:04:54-07:00,11.83561351,0
177,2020-10-30T12:04:55-07:00,11.51232959,0.008556646
178,2020-10-30T12:04:56-07:00,10.91737671,0
179,2020-10-30T12:04:57-07:00,11.17067741,0.009357745
180,2020-10-30T12:04:58-07:00,11.23719283,0
181,2020-10-30T12:04:59-07:00,10.16440171,0.004223421
182,2020-10-30T12:05:00-07:00,11.09796702,0.00479263
183,2020-10-30T12:05:01-07:00,10.97277642,0.004909793
184,2020-10-30T12:05:02-07:00,10.42092968,0.004927773
185,2020-10-30T12:05:03-07:00,10.7710693,0.004740809
186,2020-10-30T12:05:04-07:00,10.47992803,0.004478971
187,2020-10-30T12:05:05-07:00,10.73113452,0.004816301
188,2020-10-30T12:05:06-07:00,9.838217225,0.004786988
189,2020-10-30T12:05:07-07:00,10.41362407,0.004733253
190,2020-10-30T12:05:08-07:00,9.673587151,0.004625684
191,2020-10-30T12:05:09-07:00,10.46021352,0.004853236
192,2020-10-30T12:05:10-07:00,10.36353887,0.008894602
193,2020-10-30T12:05:11-07:00,9.726562269,0
194,2020-10-30T12:05:12-07:00,9.619497399,0.00906487
195,2020-10-30T12:05:13-07:00,9.528174287,0
196,2020-10-30T12:05:14-07:00,10.06909548,0.00481719
197,2020-10-30T12:05:15-07:00,9.918307584,0.008624884
198,2020-10-30T12:05:16-07:00,9.342968432,0
199,2020-10-30T12:05:17-07:00,4.065433734,0.00920801
200,2020-10-30T12:05:18-07:00,2.682677063,0
201,2020-10-30T12:05:19-07:00,2.378631829,0.004748687
202,2020-10-30T12:05:20-07:00,3.730388975,0.009170572
203,2020-10-30T12:05:21-07:00,13.91060321,0
204,2020-10-30T12:05:22-07:00,13.43401456,0.004866147
205,2020-10-30T12:05:23-07:00,12.7482868,0.012069009
206,2020-10-30T12:05:24-07:00,14.03261619,0
207,2020-10-30T12:05:25-07:00,14.51296913,0.009338156
208,2020-10-30T12:05:26-07:00,12.53479991,0
209,2020-10-30T12:05:27-07:00,9.650879044,0.004954943
210,2020-10-30T12:05:28-07:00,3.953693586,0.004543078
211,2020-10-30T12:05:29-07:00,4.118462829,0.005374758
212,2020-10-30T12:05:30-07:00,4.129441573,0.008113444
213,2020-10-30T12:05:31-07:00,12.37762751,0
214,2020-10-30T12:05:32-07:00,12.96763224,0.004615915
215,2020-10-30T12:05:33-07:00,14.51200754,0.005488459
216,2020-10-30T12:05:34-07:00,13.19469694,0.004627947
217,2020-10-30T12:05:35-07:00,12.80554015,0.008283421
218,2020-10-30T12:05:36-07:00,12.32768629,0
219,2020-10-30T12:05:37-07:00,13.18183276,0.004940212
