Time,Hour,QoS Throughput,BE Throughput,Quantum,Delay BE
1,2020-10-30T12:01:59-07:00,0,0,12000,0
2,2020-10-30T12:02:00-07:00,0,0,12000,0
3,2020-10-30T12:02:01-07:00,0,0,12000,0
4,2020-10-30T12:02:02-07:00,0,0,12000,0
5,2020-10-30T12:02:03-07:00,0,0,12000,0
6,2020-10-30T12:02:04-07:00,0,0,12000,0
7,2020-10-30T12:02:05-07:00,0,0,12000,0
8,2020-10-30T12:02:06-07:00,0,0,12000,0
9,2020-10-30T12:02:07-07:00,0,0,12000,0
10,2020-10-30T12:02:08-07:00,0,0,12000,0
11,2020-10-30T12:02:09-07:00,0,0,12000,0
12,2020-10-30T12:02:10-07:00,0,0,12000,0
13,2020-10-30T12:02:11-07:00,0,0,12000,0
14,2020-10-30T12:02:12-07:00,0,0,12000,0
15,2020-10-30T12:02:13-07:00,0,0,12000,0
16,2020-10-30T12:02:14-07:00,0,0,12000,0
17,2020-10-30T12:02:15-07:00,0,0,12000,0
18,2020-10-30T12:02:16-07:00,0,0,12000,0
19,2020-10-30T12:02:17-07:00,0,0,12000,0
20,2020-10-30T12:02:18-07:00,0,0,12000,0
21,2020-10-30T12:02:19-07:00,0,0,12000,0
22,2020-10-30T12:02:20-07:00,0,0,12000,0
23,2020-10-30T12:02:21-07:00,0,0,12000,0
24,2020-10-30T12:02:22-07:00,0,0,12000,0
25,2020-10-30T12:02:23-07:00,0,0,12000,0
26,2020-10-30T12:02:24-07:00,0,0,12000,0
27,2020-10-30T12:02:25-07:00,0,0,12000,0
28,2020-10-30T12:02:26-07:00,0,0,12000,0
29,2020-10-30T12:02:27-07:00,0,0,12000,0
30,2020-10-30T12:02:28-07:00,0,0,12000,0
31,2020-10-30T12:02:29-07:00,0,0,12000,0
32,2020-10-30T12:02:30-07:00,0,17.422048,12000,226.731
33,2020-10-30T12:02:31-07:00,0,23.319008,12000,170.685
34,2020-10-30T12:02:32-07:00,0,24.897312,12000,168.254
35,2020-10-30T12:02:33-07:00,0,23.960736,12000,169.958
36,2020-10-30T12:02:34-07:00,0,25.200832,12000,169.62
37,2020-10-30T12:02:35-07:00,0,25.695136,12000,169.26
38,2020-10-30T12:02:36-07:00,0,23.475104,12000,171.498
39,2020-10-30T12:02:37-07:00,0,24.80192,12000,167.828
40,2020-10-30T12:02:38-07:00,0,24.481056,12000,170.681
41,2020-10-30T12:02:39-07:00,0,24.697856,12000,170.846
42,2020-10-30T12:02:40-07:00,0,24.819264,1200,168.06
43,2020-10-30T12:02:41-07:00,0,24.350976,1200,171.335
44,2020-10-30T12:02:42-07:00,1.462484797,22.842048,1200,177.293
