Time,Hour,Throughput BE,Throughput QoS,Quantum BE,Quantum QoS,Delay BE,Delay QoS
1,2020-10-30T12:12:46-07:00,0,0,12000,12000,0,0
2,2020-10-30T12:12:47-07:00,0,0,12000,12000,0,0
3,2020-10-30T12:12:48-07:00,0,0,12000,12000,0,0
4,2020-10-30T12:12:49-07:00,0,0,12000,12000,0,0
5,2020-10-30T12:12:50-07:00,0,0,12000,12000,0,0
6,2020-10-30T12:12:46-07:00,0,0,12000,12000,0,0
7,2020-10-30T12:12:47-07:00,0,0,12000,12000,0,0
8,2020-10-30T12:12:48-07:00,0,0,12000,12000,0,0
9,2020-10-30T12:12:49-07:00,0,0,12000,12000,0,0
10,2020-10-30T12:12:50-07:00,0,0,12000,12000,0,0
11,2020-10-30T12:12:51-07:00,0,0,12000,12000,0,0
12,2020-10-30T12:12:52-07:00,0,0,12000,12000,0,0
13,2020-10-30T12:12:53-07:00,0,0,12000,12000,0,0
14,2020-10-30T12:12:54-07:00,0,0,12000,12000,0,0
15,2020-10-30T12:12:55-07:00,0,0,12000,12000,0,0
16,2020-10-30T12:12:56-07:00,0,0,12000,12000,0,0
17,2020-10-30T12:12:57-07:00,0,0,12000,12000,0,0
18,2020-10-30T12:12:58-07:00,0,0,12000,12000,0,0
19,2020-10-30T12:12:59-07:00,0,0,12000,12000,0,0
20,2020-10-30T12:13:00-07:00,0,0,12000,12000,0,0
21,2020-10-30T12:13:01-07:00,0,0,12000,12000,0,0
22,2020-10-30T12:13:02-07:00,0,0,12000,12000,0,0
23,2020-10-30T12:13:03-07:00,0,0,12000,12000,0,0
24,2020-10-30T12:13:04-07:00,0,0,12000,12000,0,0
25,2020-10-30T12:13:40-07:00,2.749024,0,12000,12000,39.794,0
26,2020-10-30T12:13:41-07:00,21.532576,0,12000,12000,234.601,0
27,2020-10-30T12:13:42-07:00,24.663168,0,12000,12000,167.824,0
28,2020-10-30T12:13:43-07:00,24.723872,0,12000,12000,168.553,0
29,2020-10-30T12:13:44-07:00,24.58512,0,12000,12000,171.822,0
30,2020-10-30T12:13:45-07:00,24.403008,0,12000,12000,170.833,0
31,2020-10-30T12:13:46-07:00,24.290272,0,12000,12000,167.986,0
32,2020-10-30T12:13:47-07:00,24.437696,0,12000,12000,175.266,0
33,2020-10-30T12:13:48-07:00,25.5824,0,12000,12000,168.339,0
34,2020-10-30T12:13:49-07:00,23.622528,0,12000,12000,170.546,0
35,2020-10-30T12:13:50-07:00,25.01872,0,12000,12000,167.819,0
36,2020-10-30T12:13:51-07:00,17.90768,5.98368,12000,12000,192.493,534.298
37,2020-10-30T12:13:52-07:00,11.993376,12.210176,12000,12000,352.412,363.932
38,2020-10-30T12:13:53-07:00,12.392288,12.40096,12000,12000,347.521,343.613
39,2020-10-30T12:13:54-07:00,12.114784,11.897984,12000,12000,355.105,351.433
40,2020-10-30T12:13:55-07:00,12.305568,12.31424,12000,12000,353.355,349.452
41,2020-10-30T12:13:56-07:00,12.340256,12.31424,12000,12000,353.233,348.674
42,2020-10-30T12:13:57-07:00,12.244864,12.27088,12000,12000,345.834,341.791
43,2020-10-30T12:13:58-07:00,12.66112,13.016672,1200,12000,347.836,343.717
44,2020-10-30T12:13:59-07:00,4.058496,19.286528,1200,12000,582.684,144.809
45,2020-10-30T12:14:00-07:00,10.068192,15.106624,1200,12000,572.102,7.736
46,2020-10-30T12:14:01-07:00,8.299104,16.39008,1200,12000,477.208,7.634
47,2020-10-30T12:14:02-07:00,8.84544,15.722336,1200,12000,539.864,8.043
48,2020-10-30T12:14:03-07:00,8.394496,15.245376,120,12000,469.439,7.243
49,2020-10-30T12:14:04-07:00,9.001536,15.340768,120,12000,514.923,6.619
50,2020-10-30T12:14:05-07:00,9.686624,15.228032,120,12000,435.74,6.09
51,2020-10-30T12:14:06-07:00,9.174976,15.704992,120,12000,458.563,6.162
52,2020-10-30T12:14:07-07:00,8.836768,15.774368,120,12000,513.027,6.53
53,2020-10-30T12:14:08-07:00,9.426464,16.095232,132,12000,477.829,6.383
54,2020-10-30T12:14:09-07:00,7.813472,15.028576,132,12000,498.529,6.51
55,2020-10-30T12:14:10-07:00,8.923488,15.78304,132,12000,503.06,6.391
56,2020-10-30T12:14:11-07:00,8.593952,15.991168,132,12000,497.06,6.085
57,2020-10-30T12:14:12-07:00,9.738656,15.097952,132,12000,476.102,6.074
58,2020-10-30T12:14:13-07:00,9.469824,14.716384,145,12000,446.467,6.345
59,2020-10-30T12:14:14-07:00,8.8888,15.930464,145,12000,450.857,6.149
60,2020-10-30T12:14:15-07:00,9.391776,15.444832,145,12000,480.198,6.252
61,2020-10-30T12:14:16-07:00,8.767392,15.427488,145,12000,478.034,6.525
62,2020-10-30T12:14:17-07:00,3.442784,14.777088,145,12000,538.87,15.703
63,2020-10-30T12:14:18-07:00,1.023296,14.803104,159,12000,1495.73,45.355
64,2020-10-30T12:14:19-07:00,0.52032,15.557568,159,12000,2281.873,66.208
65,2020-10-30T12:14:20-07:00,1.665024,16.710944,159,12000,3256.264,67.429
66,2020-10-30T12:14:21-07:00,8.906144,15.47952,159,12000,1715.041,6.782
