Time,Hour,0x00,0x01,0x02
1,2020-10-30T12:12:41-07:00,0,0,0
2,2020-10-30T12:12:42-07:00,0,0,0
3,2020-10-30T12:12:43-07:00,0,0,0
4,2020-10-30T12:12:44-07:00,0,0,0
5,2020-10-30T12:12:45-07:00,0,0,0
6,2020-10-30T12:12:46-07:00,0,0,0
7,2020-10-30T12:12:47-07:00,0,0,0
8,2020-10-30T12:12:48-07:00,0,0,0
9,2020-10-30T12:12:49-07:00,0,0,0
10,2020-10-30T12:12:50-07:00,0,0,0
11,2020-10-30T12:12:51-07:00,0,0,0
12,2020-10-30T12:12:52-07:00,0,0,0
13,2020-10-30T12:12:53-07:00,0,0,0
14,2020-10-30T12:12:54-07:00,0,0,0
15,2020-10-30T12:12:55-07:00,0,0,0
16,2020-10-30T12:12:56-07:00,0,0,0
17,2020-10-30T12:12:57-07:00,0,0,0
18,2020-10-30T12:12:58-07:00,0,0,0
19,2020-10-30T12:12:59-07:00,0,0,0
20,2020-10-30T12:13:00-07:00,0,0,0
21,2020-10-30T12:13:01-07:00,0,0,0
22,2020-10-30T12:13:02-07:00,0,0,0
23,2020-10-30T12:13:03-07:00,0,0,0
24,2020-10-30T12:13:04-07:00,0,0,0
25,2020-10-30T12:13:05-07:00,0,0,0
26,2020-10-30T12:13:06-07:00,0,0,0
27,2020-10-30T12:13:07-07:00,0,0,0
28,2020-10-30T12:13:08-07:00,0,0,0
29,2020-10-30T12:13:09-07:00,0,0,0
30,2020-10-30T12:13:10-07:00,0,0,0
31,2020-10-30T12:13:11-07:00,0,0,0
32,2020-10-30T12:13:12-07:00,0,0,0
33,2020-10-30T12:13:13-07:00,0,0,0
34,2020-10-30T12:13:14-07:00,0,0,0
35,2020-10-30T12:13:15-07:00,0,0,0
36,2020-10-30T12:13:16-07:00,0,0,0
37,2020-10-30T12:13:17-07:00,0,0,0
38,2020-10-30T12:13:18-07:00,0,0,0
39,2020-10-30T12:13:19-07:00,0,0,0
40,2020-10-30T12:13:20-07:00,0,0,0
41,2020-10-30T12:13:21-07:00,0,0,0
42,2020-10-30T12:13:22-07:00,0,0,0
43,2020-10-30T12:13:23-07:00,0,0,0
