Time;Hour;STA 6;STA 5;STA 4;STA 3;STA 2;STA 1
1;2020-11-08T22:55:55+01:00;0;0;0;0;1;1
2;2020-11-08T22:55:56+01:00;0;0;0;0;1;1
3;2020-11-08T22:55:57+01:00;0;0;0;0;1;1
4;2020-11-08T22:55:58+01:00;0;0;0;0;1;1
5;2020-11-08T22:55:59+01:00;0;0;0;0;1;1
6;2020-11-08T22:56:00+01:00;0;0;0;0;1;1
7;2020-11-08T22:56:01+01:00;0;0;0;0;1;1
8;2020-11-08T22:56:02+01:00;0;0;0;0;1;1
9;2020-11-08T22:56:03+01:00;0;0;0;0;1;1
10;2020-11-08T22:56:04+01:00;0;0;0;0;1;1
11;2020-11-08T22:56:05+01:00;0;0;0;0;1;1
12;2020-11-08T22:56:06+01:00;0;0;0;0;1;1
13;2020-11-08T22:56:07+01:00;0;0;0;0;1;1
14;2020-11-08T22:56:08+01:00;0;0;0;0;1;1
15;2020-11-08T22:56:09+01:00;0;0;0;0;1;1
16;2020-11-08T22:56:10+01:00;0;0;0;0;1;1
17;2020-11-08T22:56:11+01:00;0;0;0;0;1;1
18;2020-11-08T22:56:12+01:00;0;0;0;0;1;1
19;2020-11-08T22:56:13+01:00;0;0;0;0;1;1
20;2020-11-08T22:56:14+01:00;0;0;0;0;1;1
21;2020-11-08T22:56:15+01:00;0;0;0;0;1;1
22;2020-11-08T22:56:16+01:00;0;0;0;0;1;1
23;2020-11-08T22:56:17+01:00;0;0;0;0;1;1
24;2020-11-08T22:56:18+01:00;0;0;0;0;1;1
25;2020-11-08T22:56:19+01:00;0;0;0;0;1;1
26;2020-11-08T22:56:20+01:00;0;0;0;0;1;1
27;2020-11-08T22:56:21+01:00;1;0;1;1;1;1
28;2020-11-08T22:56:22+01:00;1;0;1;1;1;1
29;2020-11-08T22:56:23+01:00;1;0;1;1;1;1
30;2020-11-08T22:56:24+01:00;1;0;1;1;1;1
31;2020-11-08T22:56:25+01:00;1;0;1;1;1;1
32;2020-11-08T22:56:26+01:00;1;0;1;1;1;1
33;2020-11-08T22:56:27+01:00;1;0;1;1;1;1
34;2020-11-08T22:56:28+01:00;1;0;1;1;1;1
35;2020-11-08T22:56:29+01:00;1;0;1;1;1;1
36;2020-11-08T22:56:30+01:00;1;0;1;1;1;1
37;2020-11-08T22:56:31+01:00;1;0;1;1;1;1
38;2020-11-08T22:56:32+01:00;1;0;1;1;1;1
39;2020-11-08T22:56:33+01:00;1;0;1;1;1;1
40;2020-11-08T22:56:34+01:00;1;0;1;1;1;1
41;2020-11-08T22:56:35+01:00;1;0;1;1;1;1
42;2020-11-08T22:56:36+01:00;1;0;1;1;1;1
43;2020-11-08T22:56:37+01:00;1;0;1;1;1;1
44;2020-11-08T22:56:38+01:00;1;0;1;1;1;1
45;2020-11-08T22:56:39+01:00;1;0;1;1;1;1
46;2020-11-08T22:56:40+01:00;1;0;1;1;1;1
47;2020-11-08T22:56:41+01:00;0;0;0;0;1;1
48;2020-11-08T22:56:42+01:00;0;0;0;0;1;1
49;2020-11-08T22:56:43+01:00;0;0;0;0;1;1
50;2020-11-08T22:56:44+01:00;0;0;0;0;1;1
51;2020-11-08T22:56:45+01:00;0;0;0;0;1;1
52;2020-11-08T22:56:46+01:00;0;0;0;0;1;1
53;2020-11-08T22:56:47+01:00;0;0;0;0;1;1
54;2020-11-08T22:56:48+01:00;0;0;0;0;1;1
55;2020-11-08T22:56:49+01:00;0;0;0;0;1;1
56;2020-11-08T22:56:50+01:00;0;0;0;0;1;1
57;2020-11-08T22:56:51+01:00;0;0;0;0;1;1
58;2020-11-08T22:56:52+01:00;0;0;0;0;1;1
59;2020-11-08T22:56:53+01:00;0;0;0;0;1;1
60;2020-11-08T22:56:54+01:00;0;0;0;0;1;1
61;2020-11-08T22:56:55+01:00;0;0;0;0;1;1
62;2020-11-08T22:56:56+01:00;0;0;0;0;1;1
63;2020-11-08T22:56:57+01:00;0;0;0;0;1;1
64;2020-11-08T22:56:58+01:00;0;0;0;0;1;1
65;2020-11-08T22:56:59+01:00;0;0;0;0;1;1
66;2020-11-08T22:57:00+01:00;0;0;0;0;1;1
67;2020-11-08T22:57:01+01:00;0;0;0;1;0;1
68;2020-11-08T22:57:02+01:00;0;0;0;1;0;1
69;2020-11-08T22:57:03+01:00;0;0;0;1;0;1
70;2020-11-08T22:57:04+01:00;0;0;0;1;0;1
71;2020-11-08T22:57:05+01:00;0;0;0;1;0;1
72;2020-11-08T22:57:06+01:00;0;0;0;1;0;1
73;2020-11-08T22:57:07+01:00;0;0;0;1;0;1
74;2020-11-08T22:57:08+01:00;0;0;0;1;0;1
75;2020-11-08T22:57:09+01:00;0;0;0;1;0;1
76;2020-11-08T22:57:10+01:00;0;0;0;1;0;1
77;2020-11-08T22:57:11+01:00;0;0;0;1;0;1
78;2020-11-08T22:57:13+01:00;0;0;0;1;0;1
79;2020-11-08T22:57:14+01:00;0;0;0;1;0;1
80;2020-11-08T22:57:15+01:00;0;0;0;1;0;1
81;2020-11-08T22:57:16+01:00;0;0;0;1;0;1
82;2020-11-08T22:57:17+01:00;0;0;0;1;0;1
83;2020-11-08T22:57:18+01:00;0;0;0;1;0;1
84;2020-11-08T22:57:19+01:00;0;0;0;1;0;1
85;2020-11-08T22:57:20+01:00;0;0;0;1;0;1
86;2020-11-08T22:57:21+01:00;1;0;1;1;1;1
87;2020-11-08T22:57:22+01:00;1;0;1;1;1;1
88;2020-11-08T22:57:23+01:00;1;0;1;1;1;1
89;2020-11-08T22:57:24+01:00;1;0;1;1;1;1
90;2020-11-08T22:57:25+01:00;1;0;1;1;1;1
91;2020-11-08T22:57:26+01:00;1;0;1;1;1;1
92;2020-11-08T22:57:27+01:00;1;0;1;1;1;1
93;2020-11-08T22:57:28+01:00;1;0;1;1;1;1
94;2020-11-08T22:57:29+01:00;1;0;1;1;1;1
95;2020-11-08T22:57:30+01:00;1;0;1;1;1;1
96;2020-11-08T22:57:31+01:00;1;0;1;1;1;1
97;2020-11-08T22:57:32+01:00;1;0;1;1;1;1
98;2020-11-08T22:57:33+01:00;1;0;1;1;1;1
99;2020-11-08T22:57:34+01:00;1;0;1;1;1;1
100;2020-11-08T22:57:35+01:00;1;0;1;1;1;1
101;2020-11-08T22:57:36+01:00;1;0;1;1;1;1
102;2020-11-08T22:57:37+01:00;1;0;1;1;1;1
103;2020-11-08T22:57:38+01:00;1;0;1;1;1;1
104;2020-11-08T22:57:39+01:00;1;0;1;1;1;1
105;2020-11-08T22:57:40+01:00;1;0;1;1;1;1
106;2020-11-08T22:57:41+01:00;1;0;1;1;1;1
107;2020-11-08T22:57:42+01:00;1;0;1;1;1;1
108;2020-11-08T22:57:43+01:00;1;0;1;1;1;1
109;2020-11-08T22:57:44+01:00;1;0;1;1;1;1
110;2020-11-08T22:57:45+01:00;1;0;1;1;1;1
111;2020-11-08T22:57:46+01:00;1;0;1;1;1;1
112;2020-11-08T22:57:47+01:00;1;0;1;1;1;1
113;2020-11-08T22:57:48+01:00;1;0;1;1;1;1
114;2020-11-08T22:57:49+01:00;1;0;1;1;1;1
115;2020-11-08T22:57:50+01:00;1;0;1;1;1;1
116;2020-11-08T22:57:51+01:00;1;0;1;1;1;1
117;2020-11-08T22:57:52+01:00;1;0;1;1;1;1
118;2020-11-08T22:57:53+01:00;1;0;1;1;1;1
119;2020-11-08T22:57:54+01:00;1;0;1;1;1;1
120;2020-11-08T22:57:55+01:00;1;0;1;1;1;1
121;2020-11-08T22:57:56+01:00;1;0;1;1;1;1
122;2020-11-08T22:57:57+01:00;1;0;1;1;1;1
123;2020-11-08T22:57:58+01:00;1;0;1;1;1;1
124;2020-11-08T22:57:59+01:00;1;0;1;1;1;1
125;2020-11-08T22:58:00+01:00;1;0;1;1;1;1
126;2020-11-08T22:58:01+01:00;0;0;0;0;1;1
127;2020-11-08T22:58:02+01:00;0;0;0;0;1;1
128;2020-11-08T22:58:03+01:00;0;0;0;0;1;1
129;2020-11-08T22:58:04+01:00;0;0;0;0;1;1
130;2020-11-08T22:58:05+01:00;0;0;0;0;1;1
131;2020-11-08T22:58:06+01:00;0;0;0;0;1;1
132;2020-11-08T22:58:07+01:00;0;0;0;0;1;1
133;2020-11-08T22:58:08+01:00;0;0;0;0;1;1
134;2020-11-08T22:58:09+01:00;0;0;0;0;1;1
135;2020-11-08T22:58:10+01:00;0;0;0;0;1;1
136;2020-11-08T22:58:11+01:00;0;0;0;0;1;1
137;2020-11-08T22:58:12+01:00;0;0;0;0;1;1
138;2020-11-08T22:58:13+01:00;0;0;0;0;1;1
139;2020-11-08T22:58:14+01:00;0;0;0;0;1;1
140;2020-11-08T22:58:15+01:00;0;0;0;0;1;1
141;2020-11-08T22:58:16+01:00;0;0;0;0;1;1
142;2020-11-08T22:58:17+01:00;0;0;0;0;1;1
143;2020-11-08T22:58:18+01:00;0;0;0;0;1;1
144;2020-11-08T22:58:19+01:00;0;0;0;0;1;1
145;2020-11-08T22:58:20+01:00;0;0;0;0;1;1
146;2020-11-08T22:58:21+01:00;0;0;0;0;1;0
147;2020-11-08T22:58:22+01:00;0;0;0;0;1;0
148;2020-11-08T22:58:23+01:00;0;0;0;0;1;0
149;2020-11-08T22:58:24+01:00;0;0;0;0;1;0
150;2020-11-08T22:58:25+01:00;0;0;0;0;1;0
151;2020-11-08T22:58:26+01:00;0;0;0;0;1;0
152;2020-11-08T22:58:27+01:00;0;0;0;0;1;0
