Time;Hour;0x00;QoS 1;BE 1;BE 3;BE 4;BE 2;QoS 2
1;2020-11-08T22:55:55+01:00;0.024;null;null;null;null;null;null
2;2020-11-08T22:55:56+01:00;0.025;null;null;null;null;null;null
3;2020-11-08T22:55:57+01:00;0.024;null;null;null;null;null;null
4;2020-11-08T22:55:58+01:00;0.026;null;null;null;null;null;null
5;2020-11-08T22:55:59+01:00;0.023;null;null;null;null;null;null
6;2020-11-08T22:56:00+01:00;0.026;null;null;null;null;null;null
7;2020-11-08T22:56:01+01:00;0.023;null;null;null;null;null;null
8;2020-11-08T22:56:02+01:00;0.024;null;null;null;null;null;null
9;2020-11-08T22:56:03+01:00;0.026;null;null;null;null;null;null
10;2020-11-08T22:56:04+01:00;0.024;null;null;null;null;null;null
11;2020-11-08T22:56:05+01:00;0.023;null;null;2.605;5.681;null;null
12;2020-11-08T22:56:06+01:00;0.025;null;null;243.281;221.231;null;null
13;2020-11-08T22:56:07+01:00;6.081;null;null;364.274;363.882;null;null
14;2020-11-08T22:56:08+01:00;8.419;null;null;364.645;364.336;null;null
15;2020-11-08T22:56:09+01:00;3.829;null;null;365.07;365.559;null;null
16;2020-11-08T22:56:10+01:00;3.772;null;null;366.599;366.574;null;null
17;2020-11-08T22:56:11+01:00;8.608;null;null;369.628;369.845;null;null
18;2020-11-08T22:56:12+01:00;4.124;null;null;377.88;377.698;null;null
19;2020-11-08T22:56:13+01:00;11.726;null;null;365.034;365.139;null;null
20;2020-11-08T22:56:14+01:00;10.358;null;null;369.57;369.981;null;null
21;2020-11-08T22:56:15+01:00;9.023;null;null;386.116;386.071;null;null
22;2020-11-08T22:56:16+01:00;10.692;null;null;433.799;434.48;null;null
23;2020-11-08T22:56:17+01:00;6.233;null;null;929.447;928.589;null;null
24;2020-11-08T22:56:18+01:00;12.214;null;null;1149.867;1152.586;null;null
25;2020-11-08T22:56:19+01:00;14.736;null;null;1268.79;1264.76;null;null
26;2020-11-08T22:56:20+01:00;38.407;null;null;720.588;548.693;null;null
27;2020-11-08T22:56:21+01:00;6.676;null;null;444.266;334.105;null;null
28;2020-11-08T22:56:22+01:00;7.873;null;null;394.926;353.562;null;null
29;2020-11-08T22:56:23+01:00;12.708;null;null;367.242;367.195;null;null
30;2020-11-08T22:56:24+01:00;null;null;null;367.242;367.195;null;null
31;2020-11-08T22:56:25+01:00;null;null;null;null;null;null;null
32;2020-11-08T22:56:26+01:00;null;null;null;null;null;null;null
33;2020-11-08T22:56:27+01:00;null;null;null;null;null;null;null
34;2020-11-08T22:56:28+01:00;null;null;null;null;null;null;null
35;2020-11-08T22:56:29+01:00;null;null;null;null;null;null;null
36;2020-11-08T22:56:30+01:00;null;null;null;5276.824;5277.3;null;null
37;2020-11-08T22:56:31+01:00;null;null;null;6433.595;6432.869;null;null
38;2020-11-08T22:56:32+01:00;null;null;null;7575.678;7579.066;null;null
39;2020-11-08T22:56:33+01:00;null;null;null;null;null;null;null
40;2020-11-08T22:56:34+01:00;null;null;null;null;null;null;null
41;2020-11-08T22:56:35+01:00;null;null;null;9880.245;9881.199;null;null
42;2020-11-08T22:56:36+01:00;null;null;null;11025.286;11021.482;null;null
43;2020-11-08T22:56:37+01:00;null;null;null;12170.622;12168.275;null;null
44;2020-11-08T22:56:38+01:00;null;null;null;13310.857;13309.142;null;null
45;2020-11-08T22:56:39+01:00;null;null;null;null;null;null;null
46;2020-11-08T22:56:40+01:00;null;null;null;15645.839;15648.827;null;null
47;2020-11-08T22:56:41+01:00;null;null;null;null;null;null;null
48;2020-11-08T22:56:42+01:00;null;null;null;16782.333;16786.837;null;null
49;2020-11-08T22:56:43+01:00;null;null;null;17949.207;17948.497;null;null
