Time;Hour;0x00;QoS 1;BE 1;BE 3;BE 4;BE 2;QoS 2
1;2020-11-08T22:55:55+01:00;0.001856;null;null;null;null;null;null
2;2020-11-08T22:55:56+01:00;0.001856;null;null;null;null;null;null
3;2020-11-08T22:55:57+01:00;0.001856;null;null;null;null;null;null
4;2020-11-08T22:55:58+01:00;0.001856;null;null;null;null;null;null
5;2020-11-08T22:55:59+01:00;0.001856;null;null;null;null;null;null
6;2020-11-08T22:56:00+01:00;0.001856;null;null;null;null;null;null
7;2020-11-08T22:56:01+01:00;0.001856;null;null;null;null;null;null
8;2020-11-08T22:56:02+01:00;0.004752;null;null;null;null;null;null
9;2020-11-08T22:56:03+01:00;0.001856;null;null;null;null;null;null
10;2020-11-08T22:56:04+01:00;0.00248;null;null;null;null;null;null
11;2020-11-08T22:56:05+01:00;0.001856;null;null;null;null;null;null
12;2020-11-08T22:56:06+01:00;0.00248;null;null;null;null;null;null
13;2020-11-08T22:56:07+01:00;0.001856;null;null;null;null;null;null
14;2020-11-08T22:56:08+01:00;0.001856;null;null;null;null;null;null
15;2020-11-08T22:56:09+01:00;0.001856;null;null;null;null;null;null
16;2020-11-08T22:56:10+01:00;0.001856;null;null;null;null;null;null
17;2020-11-08T22:56:11+01:00;0.001856;null;null;null;null;null;null
18;2020-11-08T22:56:12+01:00;0.00248;null;null;null;null;null;null
19;2020-11-08T22:56:13+01:00;0.001856;null;null;null;null;null;null
20;2020-11-08T22:56:14+01:00;0.001856;null;null;null;null;null;null
21;2020-11-08T22:56:15+01:00;0.001856;null;null;null;null;null;null
22;2020-11-08T22:56:16+01:00;0.001856;null;null;null;null;null;null
23;2020-11-08T22:56:17+01:00;0.001856;null;null;null;null;null;null
24;2020-11-08T22:56:18+01:00;0.001856;null;null;null;null;null;null
25;2020-11-08T22:56:19+01:00;0.001856;null;null;null;null;null;null
26;2020-11-08T22:56:20+01:00;0.001856;null;null;null;null;null;null
27;2020-11-08T22:56:21+01:00;0.000928;null;null;0;0;null;null
28;2020-11-08T22:56:22+01:00;0.001856;null;null;0;0;null;null
29;2020-11-08T22:56:23+01:00;0.000928;null;null;0;0;null;null
30;2020-11-08T22:56:24+01:00;1.468048;null;null;0.320864;4.561472;null;null
31;2020-11-08T22:56:25+01:00;0.48067200000000004;null;null;4.613504;4.570144;null;null
32;2020-11-08T22:56:26+01:00;0.00464;null;null;2.73168;2.714336;null;null
33;2020-11-08T22:56:27+01:00;0.00464;null;null;2.5322240000000003;null;null;null
34;2020-11-08T22:56:28+01:00;0.00464;null;null;1.899168;2.540896;null;null
35;2020-11-08T22:56:29+01:00;0.00464;null;null;6.018368000000001;6.009696;null;null
36;2020-11-08T22:56:30+01:00;0.00464;null;null;7.284479999999999;7.275808;null;null
37;2020-11-08T22:56:31+01:00;0.00464;null;null;7.076352;7.0590079999999995;null;null
38;2020-11-08T22:56:32+01:00;0.00464;null;null;7.0156480000000006;7.006976;null;null
39;2020-11-08T22:56:33+01:00;0.00464;null;null;7.041664;7.06768;null;null
40;2020-11-08T22:56:34+01:00;0.00464;null;null;7.2064319999999995;7.189088;null;null
41;2020-11-08T22:56:35+01:00;0.00464;null;null;6.772832;6.80752;null;null
42;2020-11-08T22:56:36+01:00;0.00464;null;null;7.440576;7.397216;null;null
43;2020-11-08T22:56:37+01:00;0.0052640000000000004;null;null;6.6861120000000005;6.7294719999999995;null;null
44;2020-11-08T22:56:38+01:00;0.00464;null;null;6.1744639999999995;6.148448;null;null
45;2020-11-08T22:56:39+01:00;0.00464;null;null;7.397216;7.388544;null;null
46;2020-11-08T22:56:40+01:00;0.00464;null;null;6.512671999999999;6.530016;null;null
47;2020-11-08T22:56:41+01:00;0.00464;null;null;null;null;null;null
48;2020-11-08T22:56:42+01:00;0.00464;null;null;null;null;null;null
49;2020-11-08T22:56:43+01:00;0.00464;null;null;null;null;null;null
50;2020-11-08T22:56:44+01:00;0.0043360000000000004;null;null;null;null;null;null
51;2020-11-08T22:56:45+01:00;0.001856;null;null;null;null;null;null
52;2020-11-08T22:56:46+01:00;0.001856;null;null;null;null;null;null
53;2020-11-08T22:56:47+01:00;0.001856;null;null;null;null;null;null
54;2020-11-08T22:56:48+01:00;0.001856;null;null;null;null;null;null
55;2020-11-08T22:56:49+01:00;0.00248;null;null;null;null;null;null
56;2020-11-08T22:56:50+01:00;0.003104;null;null;null;null;null;null
57;2020-11-08T22:56:51+01:00;0.003104;null;null;null;null;null;null
58;2020-11-08T22:56:52+01:00;0.001856;null;null;null;null;null;null
59;2020-11-08T22:56:53+01:00;0.001856;null;null;null;null;null;null
60;2020-11-08T22:56:54+01:00;0.001856;null;null;null;null;null;null
61;2020-11-08T22:56:55+01:00;0.001856;null;null;null;null;null;null
62;2020-11-08T22:56:56+01:00;0.001856;null;null;null;null;null;null
63;2020-11-08T22:56:57+01:00;0.001856;null;null;null;null;null;null
64;2020-11-08T22:56:58+01:00;0.001856;null;null;null;null;null;null
65;2020-11-08T22:56:59+01:00;0.001856;null;null;null;null;null;null
66;2020-11-08T22:57:00+01:00;0.001856;null;null;null;null;null;null
67;2020-11-08T22:57:01+01:00;0.001856;null;null;0.182112;null;null;null
68;2020-11-08T22:57:02+01:00;0.00248;null;null;0.268832;null;null;null
69;2020-11-08T22:57:03+01:00;0.00248;null;null;0.078048;null;null;null
70;2020-11-08T22:57:04+01:00;0.001856;null;null;0.21680000000000002;null;null;null
71;2020-11-08T22:57:05+01:00;0.000928;null;null;0.294848;null;null;null
72;2020-11-08T22:57:06+01:00;0.001856;null;null;0;null;null;null
73;2020-11-08T22:57:07+01:00;0;null;null;0;null;null;null
74;2020-11-08T22:57:08+01:00;0.000928;null;null;0;null;null;null
75;2020-11-08T22:57:09+01:00;0.000928;null;null;0;null;null;null
76;2020-11-08T22:57:10+01:00;0.000928;null;null;0;null;null;null
77;2020-11-08T22:57:11+01:00;0.000928;null;null;0;null;null;null
78;2020-11-08T22:57:12+01:00;0.000928;null;null;0;null;null;null
79;2020-11-08T22:57:13+01:00;0.000928;null;null;0;null;null;null
80;2020-11-08T22:57:14+01:00;0.000928;null;null;0;null;null;null
81;2020-11-08T22:57:15+01:00;0.000928;null;null;0;null;null;null
82;2020-11-08T22:57:16+01:00;0.000928;null;null;0;null;null;null
83;2020-11-08T22:57:17+01:00;0.001552;null;null;0;null;null;null
84;2020-11-08T22:57:18+01:00;0.000928;null;null;0;null;null;null
85;2020-11-08T22:57:19+01:00;0.000928;null;null;0;null;null;null
86;2020-11-08T22:57:20+01:00;0.001856;null;null;0;null;null;null
87;2020-11-08T22:57:21+01:00;0;null;0;0;0;null;null
88;2020-11-08T22:57:22+01:00;0.000928;null;0;0;0;null;null
89;2020-11-08T22:57:23+01:00;0.000928;null;0;0;0;null;null
90;2020-11-08T22:57:24+01:00;0.000928;null;1.925184;0;0;null;null
91;2020-11-08T22:57:25+01:00;0.001856;null;9.166304;0;0.10406399999999999;null;null
92;2020-11-08T22:57:26+01:00;0.003712;null;4.171232;0;2.029248;null;null
93;2020-11-08T22:57:27+01:00;0.003712;null;2.1159679999999996;0;2.4281599999999997;null;null
94;2020-11-08T22:57:28+01:00;0.003712;null;2.6969920000000003;0;2.272064;null;null
95;2020-11-08T22:57:29+01:00;0.003712;null;5.9836800000000006;0;5.9836800000000006;null;null
96;2020-11-08T22:57:30+01:00;0.003712;null;7.197760000000001;0;7.1717439999999995;null;null
97;2020-11-08T22:57:31+01:00;0.0043360000000000004;null;7.11104;0;7.128384;null;null
98;2020-11-08T22:57:32+01:00;0.003712;null;6.902912000000001;0;6.902912000000001;null;null
99;2020-11-08T22:57:33+01:00;0.0043360000000000004;null;7.2064319999999995;0;7.197760000000001;null;null
100;2020-11-08T22:57:34+01:00;0.003712;null;6.85088;0;6.842207999999999;null;null
101;2020-11-08T22:57:35+01:00;0.003712;null;7.362528;0;7.362528;null;null
102;2020-11-08T22:57:36+01:00;0.003712;null;6.885568;0;6.89424;null;null
103;2020-11-08T22:57:37+01:00;0.00496;null;7.06768;0.026015999999999997;7.06768;null;null
104;2020-11-08T22:57:38+01:00;0.0052640000000000004;null;5.68016;2.6016;5.671488;null;null
105;2020-11-08T22:57:39+01:00;0.00464;null;5.498048;5.5067200000000005;5.498048;null;null
106;2020-11-08T22:57:40+01:00;0.00464;null;5.229216;5.220544;5.220544;null;null
107;2020-11-08T22:57:41+01:00;0.0052640000000000004;null;6.053056;6.053056;6.087744;null;null
108;2020-11-08T22:57:42+01:00;0.003712;null;3.997792;3.9457600000000004;3.9110720000000003;null;null
109;2020-11-08T22:57:43+01:00;0.41811200000000004;null;0.546336;0.546336;0.546336;null;null
110;2020-11-08T22:57:44+01:00;0.16384;null;7.006976;7.267136000000001;7.3191679999999995;null;null
111;2020-11-08T22:57:45+01:00;0.00464;null;8.299104;8.273088;8.273088;null;null
112;2020-11-08T22:57:46+01:00;0.00464;null;9.1056;5.8015680000000005;9.114272000000001;null;null
113;2020-11-08T22:57:47+01:00;null;null;null;null;null;null;null
114;2020-11-08T22:57:48+01:00;0.00464;null;16.08656;0;16.095232;null;null
115;2020-11-08T22:57:49+01:00;0.002784;null;9.686624;0;11.282272;null;null
116;2020-11-08T22:57:50+01:00;0.003712;null;12.288224;0;12.27088;null;null
117;2020-11-08T22:57:51+01:00;0.003712;null;12.44432;0;12.470336;null;null
118;2020-11-08T22:57:52+01:00;0.003712;null;12.981984;0;12.947296;null;null
119;2020-11-08T22:57:53+01:00;0.002784;null;11.715872;0;11.75056;null;null
120;2020-11-08T22:57:54+01:00;0.002784;null;12.548384;0;12.548384;null;null
121;2020-11-08T22:57:55+01:00;0.002784;null;12.825888;0;12.808544;null;null
122;2020-11-08T22:57:56+01:00;0.002784;null;11.646495999999999;0;11.655168;null;null
123;2020-11-08T22:57:57+01:00;0.005888;null;13.415584;0;13.380896;null;null
124;2020-11-08T22:57:58+01:00;0.003712;null;11.66384;0;11.681184;null;null
125;2020-11-08T22:57:59+01:00;0.003712;null;12.123456000000001;0;12.18416;null;null
126;2020-11-08T22:58:00+01:00;0.003712;null;13.91856;0;13.857856;null;null
127;2020-11-08T22:58:01+01:00;0.003712;null;10.900704;null;null;null;null
128;2020-11-08T22:58:02+01:00;0.003712;null;10.770624;null;null;null;null
129;2020-11-08T22:58:03+01:00;0.003712;null;5.125152;null;null;null;null
130;2020-11-08T22:58:04+01:00;0.000928;null;6.842207999999999;null;null;null;null
131;2020-11-08T22:58:05+01:00;0.002784;null;0.676416;null;null;null;null
