Datetime;STA 5;STA 4;STA 3;STA 6;STA 1;STA 2
2021-01-06T12:35:31+01:00;-79;null;null;null;null;null
2021-01-06T12:35:32+01:00;-81;null;null;null;null;null
2021-01-06T12:35:33+01:00;-81;null;null;null;null;null
2021-01-06T12:35:34+01:00;-82;null;null;null;null;null
2021-01-06T12:35:35+01:00;-82;null;null;null;null;null
2021-01-06T12:35:36+01:00;-82;null;null;null;null;null
2021-01-06T12:35:37+01:00;-82;null;null;null;null;null
2021-01-06T12:35:38+01:00;-82;null;null;null;null;null
2021-01-06T12:35:39+01:00;-82;null;null;null;null;null
2021-01-06T12:35:46+01:00;0;null;null;null;null;null
2021-01-06T12:35:47+01:00;-82;null;null;null;null;null
2021-01-06T12:35:48+01:00;-82;-64;null;null;null;null
2021-01-06T12:35:49+01:00;-82;-64;-64;null;null;null
2021-01-06T12:35:50+01:00;-82;-64;-64;null;null;null
2021-01-06T12:35:51+01:00;-82;-63;-64;null;null;null
2021-01-06T12:35:52+01:00;null;-63;-64;null;null;null
2021-01-06T12:35:53+01:00;null;-63;-64;null;null;null
2021-01-06T12:35:54+01:00;null;-63;-64;null;null;null
2021-01-06T12:35:55+01:00;null;-63;-64;-84;null;null
2021-01-06T12:35:56+01:00;null;-63;-64;-84;null;null
2021-01-06T12:35:57+01:00;null;null;-64;-84;null;null
2021-01-06T12:35:58+01:00;null;null;-64;-84;null;null
2021-01-06T12:35:59+01:00;null;null;-64;-84;null;null
2021-01-06T12:36:00+01:00;null;null;null;-84;null;null
2021-01-06T12:36:01+01:00;null;-63;null;null;null;null
2021-01-06T12:36:02+01:00;null;-63;null;null;null;null
2021-01-06T12:36:03+01:00;null;-64;null;null;null;null
2021-01-06T12:36:04+01:00;null;-64;-63;null;null;null
2021-01-06T12:36:05+01:00;null;-64;-65;null;null;null
2021-01-06T12:36:06+01:00;null;-64;-65;null;null;null
2021-01-06T12:36:07+01:00;null;-64;-64;null;null;null
2021-01-06T12:36:08+01:00;null;-64;-64;null;null;null
2021-01-06T12:36:09+01:00;null;-64;-64;null;-80;null
2021-01-06T12:36:10+01:00;null;-64;-64;null;-80;-85
2021-01-06T12:36:11+01:00;null;-64;-64;null;-80;-85
2021-01-06T12:36:12+01:00;null;null;-64;null;-80;-85
2021-01-06T12:36:13+01:00;null;null;null;null;-80;-85
2021-01-06T12:36:14+01:00;null;null;null;null;-80;-85
2021-01-06T12:36:15+01:00;null;null;null;null;null;-85
2021-01-06T12:36:36+01:00;-81;null;null;null;null;null
2021-01-06T12:36:37+01:00;-81;null;null;null;null;null
2021-01-06T12:36:38+01:00;-81;null;null;null;null;null
2021-01-06T12:36:39+01:00;-82;null;null;null;null;null
2021-01-06T12:36:40+01:00;-82;null;null;null;null;null
2021-01-06T12:36:41+01:00;-82;null;null;null;null;null
2021-01-06T12:36:42+01:00;-82;null;null;null;null;null
2021-01-06T12:36:43+01:00;-82;null;null;null;null;null
2021-01-06T12:36:48+01:00;null;-62;null;null;null;null
2021-01-06T12:36:49+01:00;null;-64;null;null;null;null
2021-01-06T12:36:50+01:00;null;-64;null;null;null;null
2021-01-06T12:36:51+01:00;null;-64;null;null;null;null
2021-01-06T12:36:52+01:00;null;-63;null;null;null;null
2021-01-06T12:36:53+01:00;null;-63;null;null;null;null
2021-01-06T12:36:54+01:00;null;-63;null;null;null;null
2021-01-06T12:36:55+01:00;null;-63;null;-81;null;null
2021-01-06T12:36:56+01:00;null;-63;null;-83;null;null
2021-01-06T12:36:57+01:00;null;null;null;-83;null;null
2021-01-06T12:36:58+01:00;null;null;null;-83;null;null
2021-01-06T12:36:59+01:00;null;null;null;-83;null;null
2021-01-06T12:37:00+01:00;null;null;null;-83;null;null
2021-01-06T12:37:04+01:00;null;null;-63;null;null;null
2021-01-06T12:37:05+01:00;null;null;-65;null;null;null
2021-01-06T12:37:06+01:00;null;null;-65;null;null;null
2021-01-06T12:37:07+01:00;null;null;-65;null;null;null
2021-01-06T12:37:08+01:00;null;null;-64;null;null;null
2021-01-06T12:37:09+01:00;null;null;-64;null;-80;null
2021-01-06T12:37:10+01:00;null;null;-64;null;-80;-84
2021-01-06T12:37:11+01:00;null;null;-64;null;-80;-84
2021-01-06T12:37:12+01:00;null;null;-64;null;-80;-84
2021-01-06T12:37:13+01:00;null;null;null;null;-80;-84
2021-01-06T12:37:14+01:00;null;null;null;null;-80;-84
2021-01-06T12:37:15+01:00;null;null;null;null;null;-84
2021-01-06T12:37:48+01:00;null;-66;null;null;null;null
2021-01-06T12:37:49+01:00;null;-65;null;null;null;null
2021-01-06T12:37:50+01:00;null;-64;null;null;null;null
2021-01-06T12:37:51+01:00;null;-64;null;null;null;null
2021-01-06T12:37:52+01:00;null;-63;null;null;null;null
2021-01-06T12:37:53+01:00;null;-63;null;null;null;null
2021-01-06T12:37:54+01:00;null;-63;null;null;null;null
2021-01-06T12:37:55+01:00;null;-63;null;0;null;null
2021-01-06T12:37:56+01:00;null;-63;null;-85;null;null
2021-01-06T12:37:57+01:00;null;null;null;-85;null;null
2021-01-06T12:37:58+01:00;null;null;null;-85;null;null
2021-01-06T12:37:59+01:00;null;null;null;-85;null;null
2021-01-06T12:38:00+01:00;null;null;null;-85;null;null
2021-01-06T12:38:04+01:00;null;null;-63;null;null;null
2021-01-06T12:38:05+01:00;null;null;-64;null;null;null
2021-01-06T12:38:06+01:00;null;null;-64;null;null;null
2021-01-06T12:38:07+01:00;null;null;-64;null;null;null
2021-01-06T12:38:08+01:00;null;null;-64;null;null;null
2021-01-06T12:38:09+01:00;null;null;-64;null;-80;null
2021-01-06T12:38:10+01:00;null;null;-64;null;-80;-84
2021-01-06T12:38:11+01:00;null;null;-64;null;-80;-84
2021-01-06T12:38:12+01:00;null;null;-64;null;-80;-84
2021-01-06T12:38:13+01:00;null;null;null;null;-80;-84
2021-01-06T12:38:14+01:00;null;null;null;null;-80;-84
2021-01-06T12:38:15+01:00;null;null;null;null;null;-84
2021-01-06T12:38:48+01:00;null;-64;null;null;null;null
2021-01-06T12:38:49+01:00;null;-64;null;null;null;null
2021-01-06T12:38:50+01:00;null;-64;null;null;null;null
2021-01-06T12:38:51+01:00;null;-64;null;null;null;null
2021-01-06T12:38:52+01:00;null;-64;null;null;null;null
2021-01-06T12:38:53+01:00;null;-64;null;null;null;null
2021-01-06T12:38:54+01:00;null;-64;null;null;null;null
2021-01-06T12:38:55+01:00;null;-64;null;-81;null;null
2021-01-06T12:38:56+01:00;null;-64;null;-83;null;null
2021-01-06T12:38:57+01:00;null;null;null;-83;null;null
2021-01-06T12:38:58+01:00;null;null;null;-83;null;null
2021-01-06T12:38:59+01:00;null;null;null;-83;null;null
2021-01-06T12:39:00+01:00;null;null;null;-83;null;null
2021-01-06T12:39:04+01:00;null;null;-63;null;null;null
2021-01-06T12:39:05+01:00;null;null;-65;null;null;null
2021-01-06T12:39:06+01:00;null;null;-65;null;null;null
2021-01-06T12:39:07+01:00;null;null;-65;null;null;null
2021-01-06T12:39:08+01:00;null;null;-65;null;null;null
2021-01-06T12:39:09+01:00;null;null;-65;null;-82;null
2021-01-06T12:39:10+01:00;null;null;-65;null;-82;-83
2021-01-06T12:39:11+01:00;null;null;-65;null;-82;-83
2021-01-06T12:39:12+01:00;null;null;-65;null;-82;-83
2021-01-06T12:39:13+01:00;null;null;null;null;-82;-83
2021-01-06T12:39:14+01:00;null;null;null;null;-82;-83
2021-01-06T12:39:15+01:00;null;null;null;null;null;-83
2021-01-06T12:39:48+01:00;null;-63;null;null;null;null
2021-01-06T12:39:49+01:00;null;-64;null;null;null;null
2021-01-06T12:39:50+01:00;null;-63;null;null;null;null
2021-01-06T12:39:51+01:00;null;-63;null;null;null;null
2021-01-06T12:39:52+01:00;null;-63;null;null;null;null
2021-01-06T12:39:53+01:00;null;-63;null;null;null;null
2021-01-06T12:39:54+01:00;null;-63;null;null;null;null
2021-01-06T12:39:55+01:00;null;-63;null;-81;null;null
2021-01-06T12:39:56+01:00;null;-63;null;-83;null;null
2021-01-06T12:39:57+01:00;null;null;null;-83;null;null
2021-01-06T12:39:58+01:00;null;null;null;-83;null;null
2021-01-06T12:39:59+01:00;null;null;null;-83;null;null
2021-01-06T12:40:00+01:00;null;null;null;-83;null;null
2021-01-06T12:40:04+01:00;null;null;-63;null;null;null
2021-01-06T12:40:05+01:00;null;null;-65;null;null;null
2021-01-06T12:40:06+01:00;null;null;-65;null;null;null
2021-01-06T12:40:07+01:00;null;null;-65;null;null;null
2021-01-06T12:40:08+01:00;null;null;-64;null;null;null
2021-01-06T12:40:09+01:00;null;null;-64;null;-80;null
2021-01-06T12:40:10+01:00;null;null;-64;null;-80;-84
2021-01-06T12:40:11+01:00;null;null;-64;null;-80;-84
2021-01-06T12:40:12+01:00;null;null;-64;null;-80;-84
2021-01-06T12:40:13+01:00;null;null;null;null;-80;-84
2021-01-06T12:40:14+01:00;null;null;null;null;-80;-84
2021-01-06T12:40:15+01:00;null;null;null;null;null;-84
2021-01-06T12:40:49+01:00;null;-63;null;null;null;null
2021-01-06T12:40:51+01:00;null;-64;-64;null;null;null
2021-01-06T12:40:52+01:00;null;-63;-64;null;null;null
2021-01-06T12:40:53+01:00;null;-63;-64;null;null;null
2021-01-06T12:40:54+01:00;null;-63;-64;null;null;null
2021-01-06T12:40:55+01:00;null;-63;-65;null;null;null
2021-01-06T12:40:56+01:00;null;-63;-65;-81;null;null
2021-01-06T12:40:57+01:00;null;-63;-65;-83;null;null
2021-01-06T12:40:58+01:00;null;null;-65;-83;null;null
2021-01-06T12:40:59+01:00;null;null;-65;-83;null;null
2021-01-06T12:41:00+01:00;null;null;null;-83;null;null
2021-01-06T12:41:01+01:00;null;-63;null;null;null;null
2021-01-06T12:41:02+01:00;null;-63;null;null;null;null
2021-01-06T12:41:03+01:00;null;-64;null;null;null;null
2021-01-06T12:41:04+01:00;null;-64;-63;null;null;null
2021-01-06T12:41:05+01:00;null;-64;-65;null;null;null
2021-01-06T12:41:06+01:00;null;-64;-64;null;null;null
2021-01-06T12:41:07+01:00;null;-64;-64;null;null;null
2021-01-06T12:41:08+01:00;null;-64;-64;null;null;null
2021-01-06T12:41:09+01:00;null;-64;-64;null;-80;null
2021-01-06T12:41:10+01:00;null;-64;-64;null;-80;-84
