Time;Datetime;STA 5;STA 6;STA 4;STA 3;STA 1;STA 2
1;2021-01-06T12:35:21+01:00;null;null;null;null;null;null
2;2021-01-06T12:35:22+01:00;null;null;null;null;null;null
3;2021-01-06T12:35:23+01:00;null;null;null;null;null;null
4;2021-01-06T12:35:24+01:00;null;null;null;null;null;null
5;2021-01-06T12:35:25+01:00;null;null;null;null;null;null
6;2021-01-06T12:35:26+01:00;null;null;null;null;null;null
7;2021-01-06T12:35:27+01:00;null;null;null;null;null;null
8;2021-01-06T12:35:28+01:00;null;null;null;null;null;null
9;2021-01-06T12:35:29+01:00;null;null;null;null;null;null
10;2021-01-06T12:35:30+01:00;null;null;null;null;null;null
11;2021-01-06T12:35:31+01:00;-57.0;null;null;null;null;null
12;2021-01-06T12:35:32+01:00;-57.0;null;null;null;null;null
13;2021-01-06T12:35:33+01:00;-58.0;null;null;null;null;null
14;2021-01-06T12:35:34+01:00;-57.0;null;null;null;null;null
15;2021-01-06T12:35:35+01:00;-57.0;null;null;null;null;null
16;2021-01-06T12:35:36+01:00;-57.0;null;null;null;null;null
17;2021-01-06T12:35:37+01:00;-57.0;null;null;null;null;null
18;2021-01-06T12:35:38+01:00;-57.0;null;null;null;null;null
19;2021-01-06T12:35:39+01:00;-57.0;null;null;null;null;null
20;2021-01-06T12:35:40+01:00;-57.0;null;null;null;null;null
21;2021-01-06T12:35:41+01:00;null;null;null;null;null;null
22;2021-01-06T12:35:42+01:00;null;null;null;null;null;null
23;2021-01-06T12:35:43+01:00;null;null;null;null;null;null
24;2021-01-06T12:35:44+01:00;null;null;null;null;null;null
25;2021-01-06T12:35:45+01:00;null;-66.0;null;null;null;null
26;2021-01-06T12:35:46+01:00;-56.0;-66.0;null;null;null;null
27;2021-01-06T12:35:47+01:00;-57.0;-66.0;null;null;null;null
28;2021-01-06T12:35:48+01:00;-57.0;-66.0;-57.0;null;null;null
29;2021-01-06T12:35:49+01:00;-57.0;-66.0;-57.0;null;null;null
30;2021-01-06T12:35:50+01:00;-57.0;-65.0;-57.0;null;null;null
31;2021-01-06T12:35:51+01:00;-57.0;-65.0;-57.0;null;null;null
32;2021-01-06T12:35:52+01:00;null;-65.0;-57.0;null;null;null
33;2021-01-06T12:35:53+01:00;null;-65.0;-57.0;null;null;null
34;2021-01-06T12:35:54+01:00;null;-65.0;null;null;null;null
35;2021-01-06T12:35:55+01:00;null;null;null;null;null;null
36;2021-01-06T12:35:56+01:00;null;-64.0;null;null;null;null
37;2021-01-06T12:35:57+01:00;null;-62.0;null;null;null;null
38;2021-01-06T12:35:58+01:00;null;-62.0;null;null;null;null
39;2021-01-06T12:35:59+01:00;null;-62.0;null;null;null;null
40;2021-01-06T12:36:00+01:00;null;-62.0;null;null;null;null
41;2021-01-06T12:36:01+01:00;null;-62.0;null;null;null;null
42;2021-01-06T12:36:02+01:00;null;-62.0;null;null;null;null
43;2021-01-06T12:36:03+01:00;null;-62.0;null;null;null;null
44;2021-01-06T12:36:04+01:00;null;null;null;-51.0;null;null
45;2021-01-06T12:36:05+01:00;null;null;null;-51.0;null;null
46;2021-01-06T12:36:06+01:00;null;null;null;-51.0;null;null
47;2021-01-06T12:36:07+01:00;null;null;null;-51.0;null;null
48;2021-01-06T12:36:08+01:00;null;null;null;-51.0;null;null
49;2021-01-06T12:36:09+01:00;null;null;null;-51.0;-59.0;null
50;2021-01-06T12:36:10+01:00;null;null;null;null;-59.0;-48.0
51;2021-01-06T12:36:11+01:00;null;null;null;null;-59.0;-48.0
