Time;Hour;0x00;QoS 1;BE 1;BE 3;BE 4;BE 2;QoS 2
1;2020-12-03T16:37:04+01:00;0.025;null;null;null;null;null;null
2;2020-12-03T16:37:05+01:00;0.023;null;null;null;null;null;null
3;2020-12-03T16:37:06+01:00;0.024;null;null;null;null;null;null
4;2020-12-03T16:37:07+01:00;0.026;null;null;null;null;null;null
5;2020-12-03T16:37:08+01:00;0.024;null;null;null;null;null;null
6;2020-12-03T16:37:09+01:00;0.024;null;null;null;null;null;null
7;2020-12-03T16:37:10+01:00;0.025;null;null;null;null;null;null
8;2020-12-03T16:37:11+01:00;0.024;null;null;null;null;null;null
9;2020-12-03T16:37:12+01:00;0.023;null;null;null;null;null;null
10;2020-12-03T16:37:13+01:00;0.023;null;null;null;null;null;null
11;2020-12-03T16:37:14+01:00;0.025;null;null;null;null;null;null
12;2020-12-03T16:37:15+01:00;0.024;null;null;null;null;null;null
13;2020-12-03T16:37:16+01:00;0.024;null;null;null;null;null;null
14;2020-12-03T16:37:17+01:00;0.023;null;null;null;null;null;null
15;2020-12-03T16:37:18+01:00;0.022;null;null;null;null;null;null
16;2020-12-03T16:37:19+01:00;0.025;null;null;null;null;null;null
17;2020-12-03T16:37:20+01:00;0.025;null;null;null;null;null;null
18;2020-12-03T16:37:21+01:00;0.022;null;null;null;null;null;null
19;2020-12-03T16:37:22+01:00;0.024;null;null;null;null;null;null
20;2020-12-03T16:37:23+01:00;0.022;null;null;null;null;null;null
21;2020-12-03T16:37:24+01:00;0.024;null;null;null;null;null;null
22;2020-12-03T16:37:25+01:00;0.024;null;null;null;null;null;null
23;2020-12-03T16:37:26+01:00;0.024;null;null;null;null;null;null
24;2020-12-03T16:37:27+01:00;0.025;null;null;null;null;null;null
25;2020-12-03T16:37:28+01:00;0.023;null;null;null;null;null;null
26;2020-12-03T16:37:29+01:00;0.025;null;null;null;null;null;null
27;2020-12-03T16:37:30+01:00;0.024;null;null;null;null;null;null
28;2020-12-03T16:37:31+01:00;0.023;null;null;null;null;null;null
29;2020-12-03T16:37:32+01:00;0.023;null;null;null;null;null;null
30;2020-12-03T16:37:33+01:00;0.023;null;null;null;null;null;null
31;2020-12-03T16:37:34+01:00;0.026;null;null;null;null;null;null
32;2020-12-03T16:37:35+01:00;0.024;null;null;null;null;null;null
33;2020-12-03T16:37:36+01:00;0.023;null;null;null;null;null;null
34;2020-12-03T16:37:37+01:00;0.024;null;null;null;null;null;null
35;2020-12-03T16:37:38+01:00;0.023;null;null;null;null;null;null
36;2020-12-03T16:37:39+01:00;0.027;null;null;null;null;null;null
37;2020-12-03T16:37:40+01:00;0.024;null;null;null;null;null;null
38;2020-12-03T16:37:41+01:00;0.022;null;null;null;null;null;null
39;2020-12-03T16:37:42+01:00;0.023;null;null;null;null;null;null
40;2020-12-03T16:37:43+01:00;0.024;null;null;null;null;null;null
41;2020-12-03T16:37:44+01:00;0.027;null;null;null;null;null;null
42;2020-12-03T16:37:45+01:00;0.024;null;null;null;null;null;null
43;2020-12-03T16:37:46+01:00;0.024;null;null;null;null;null;null
44;2020-12-03T16:37:47+01:00;0.024;null;null;null;null;null;null
45;2020-12-03T16:37:48+01:00;0.025;null;null;null;null;null;null
46;2020-12-03T16:37:49+01:00;0.026;null;null;null;null;null;null
47;2020-12-03T16:37:50+01:00;0.025;null;null;null;null;null;null
48;2020-12-03T16:37:51+01:00;0.022;null;null;null;null;null;null
49;2020-12-03T16:37:52+01:00;0.024;null;null;null;null;null;null
50;2020-12-03T16:37:53+01:00;0.022;null;null;null;null;null;null
51;2020-12-03T16:37:54+01:00;0.024;null;null;null;null;null;null
52;2020-12-03T16:37:55+01:00;0.022;null;null;null;null;null;null
53;2020-12-03T16:37:56+01:00;0.024;null;null;null;null;null;null
54;2020-12-03T16:37:57+01:00;0.024;null;null;null;null;null;null
55;2020-12-03T16:37:58+01:00;0.024;null;null;null;null;null;null
56;2020-12-03T16:37:59+01:00;0.026;null;null;null;null;null;null
57;2020-12-03T16:38:00+01:00;0.026;null;null;null;null;null;null
58;2020-12-03T16:38:01+01:00;0.025;null;null;null;null;null;null
59;2020-12-03T16:38:02+01:00;0.024;null;null;null;null;null;null
60;2020-12-03T16:38:03+01:00;0.024;null;null;null;null;null;null
61;2020-12-03T16:38:04+01:00;0.025;null;null;null;null;null;null
62;2020-12-03T16:38:05+01:00;0.024;null;null;null;null;null;null
63;2020-12-03T16:38:06+01:00;0.025;null;null;null;null;null;null
64;2020-12-03T16:38:07+01:00;0.026;null;null;null;null;null;null
65;2020-12-03T16:38:08+01:00;0.026;null;null;null;null;null;null
66;2020-12-03T16:38:09+01:00;0.027;null;null;null;null;null;null
67;2020-12-03T16:38:10+01:00;0.024;null;null;null;null;null;null
68;2020-12-03T16:38:11+01:00;0.022;null;null;null;null;null;null
69;2020-12-03T16:38:12+01:00;0.024;null;null;null;null;null;null
70;2020-12-03T16:38:13+01:00;0.022;null;null;null;null;null;null
