Time;Hour;0x00;QoS 1;BE 1;BE 3;BE 4;BE 2;QoS 2
1;2020-11-08T21:28:11+01:00;0.023;null;null;null;null;null;null
2;2020-11-08T21:28:12+01:00;0.025;null;null;null;null;null;null
3;2020-11-08T21:28:13+01:00;0.025;null;null;null;null;null;null
4;2020-11-08T21:28:14+01:00;0.025;null;null;null;null;null;null
5;2020-11-08T21:28:15+01:00;0.023;null;null;null;null;null;null
6;2020-11-08T21:28:16+01:00;0.024;null;null;null;null;null;null
7;2020-11-08T21:28:17+01:00;0.026;null;null;null;null;null;null
8;2020-11-08T21:28:18+01:00;0.023;null;null;null;null;null;null
9;2020-11-08T21:28:19+01:00;0.022;null;null;null;null;null;null
10;2020-11-08T21:28:20+01:00;0.024;null;null;null;null;null;null
11;2020-11-08T21:28:21+01:00;0.023;null;null;null;null;null;null
12;2020-11-08T21:28:22+01:00;0.024;null;null;null;null;null;null
13;2020-11-08T21:28:23+01:00;0.024;null;null;null;null;null;null
14;2020-11-08T21:28:24+01:00;0.022;null;null;null;null;null;null
15;2020-11-08T21:28:25+01:00;0.023;null;null;null;null;null;null
16;2020-11-08T21:28:26+01:00;0.025;null;null;null;null;null;null
17;2020-11-08T21:28:27+01:00;0.025;null;null;null;null;null;null
18;2020-11-08T21:28:28+01:00;10.586;null;null;251.373;null;null;null
19;2020-11-08T21:28:29+01:00;3.546;null;null;226.439;null;null;null
20;2020-11-08T21:28:30+01:00;3.546;null;null;327.47;null;null;null
21;2020-11-08T21:28:31+01:00;11.39;null;null;326.606;null;null;null
22;2020-11-08T21:28:32+01:00;16.797;null;null;324.313;null;null;null
23;2020-11-08T21:28:33+01:00;16.797;null;null;344.296;null;null;null
24;2020-11-08T21:28:34+01:00;22.941;null;null;313.654;null;null;null
25;2020-11-08T21:28:35+01:00;22.941;null;null;328.349;null;null;null
26;2020-11-08T21:28:36+01:00;21.373;null;null;321.943;null;null;null
27;2020-11-08T21:28:37+01:00;15.748;null;null;325.692;null;null;null
28;2020-11-08T21:28:38+01:00;7.13;null;null;319.176;null;null;null
29;2020-11-08T21:28:39+01:00;16.089;null;null;327.882;null;null;null
30;2020-11-08T21:28:40+01:00;17.139;null;null;330.563;null;null;null
31;2020-11-08T21:28:41+01:00;10.074;null;null;324.249;null;null;null
32;2020-11-08T21:28:42+01:00;18.36;null;null;326.953;null;null;null
33;2020-11-08T21:28:43+01:00;24.2;null;null;330.15;null;null;null
34;2020-11-08T21:28:44+01:00;19.981;null;null;332.398;null;null;null
35;2020-11-08T21:28:45+01:00;8.583;null;null;328.19;null;null;null
36;2020-11-08T21:28:46+01:00;8.583;null;null;328.19;null;null;null
37;2020-11-08T21:28:47+01:00;19.802;null;null;323.96;null;null;null
38;2020-11-08T21:28:48+01:00;14.868;null;null;331.064;null;null;null
39;2020-11-08T21:28:49+01:00;14.341;null;null;331.683;null;null;null
40;2020-11-08T21:28:50+01:00;19.603;null;null;330.196;null;null;null
41;2020-11-08T21:28:51+01:00;8.802;null;null;332.635;null;null;null
42;2020-11-08T21:28:52+01:00;18.619;null;null;322.504;null;null;null
43;2020-11-08T21:28:53+01:00;19.951;null;null;325.784;null;null;null
44;2020-11-08T21:28:54+01:00;19.951;null;null;325.784;null;null;null
45;2020-11-08T21:28:55+01:00;9.533;null;null;335.317;null;null;null
46;2020-11-08T21:28:56+01:00;9.832;null;null;322.072;null;null;null
47;2020-11-08T21:28:57+01:00;9.832;null;null;333.104;null;null;null
48;2020-11-08T21:28:58+01:00;26.58;null;null;324.482;null;null;null
49;2020-11-08T21:28:59+01:00;20.371;null;null;317.967;null;null;null
50;2020-11-08T21:29:00+01:00;17.001;null;null;369.212;null;null;null
51;2020-11-08T21:29:01+01:00;10.282;null;null;359.1;null;null;null
52;2020-11-08T21:29:02+01:00;5.701;null;null;354.821;null;null;null
53;2020-11-08T21:29:03+01:00;18.328;null;null;363.245;null;null;null
54;2020-11-08T21:29:04+01:00;18.328;null;null;363.245;null;null;null
55;2020-11-08T21:29:05+01:00;15.331;null;null;369.049;null;null;null
56;2020-11-08T21:29:06+01:00;25.668;null;null;364.394;null;null;null
57;2020-11-08T21:29:07+01:00;26.571;null;null;361.269;null;null;null
58;2020-11-08T21:29:08+01:00;16.892;null;null;364.674;null;null;null
59;2020-11-08T21:29:09+01:00;20.353;null;null;357.645;null;null;null
60;2020-11-08T21:29:10+01:00;22.416;null;null;346.908;null;null;null
61;2020-11-08T21:29:11+01:00;24.842;null;null;387.044;null;null;null
62;2020-11-08T21:29:12+01:00;29.263;null;null;356.11;null;null;null
63;2020-11-08T21:29:13+01:00;29.263;null;null;351.066;null;null;null
64;2020-11-08T21:29:14+01:00;3.64;null;null;372.813;null;null;null
65;2020-11-08T21:29:15+01:00;3.64;null;null;372.813;null;null;null
66;2020-11-08T21:29:16+01:00;23.412;null;null;405.499;null;null;null
67;2020-11-08T21:29:17+01:00;25.905;null;null;999.093;null;null;null
68;2020-11-08T21:29:18+01:00;54.747;null;null;999.093;null;null;null
69;2020-11-08T21:29:19+01:00;74.421;null;null;1380.276;null;null;null
70;2020-11-08T21:29:20+01:00;82.331;null;null;604.782;null;null;null
71;2020-11-08T21:29:21+01:00;17.505;null;61.778;356.948;null;null;null
72;2020-11-08T21:29:22+01:00;15.656;null;514.053;578.398;null;null;null
73;2020-11-08T21:29:23+01:00;19.487;null;763.448;591.419;null;null;null
74;2020-11-08T21:29:24+01:00;22.51;null;641.259;638.755;null;null;null
75;2020-11-08T21:29:25+01:00;21.19;null;660.134;660.159;null;null;null
76;2020-11-08T21:29:26+01:00;null;null;659.834;659.695;null;null;null
77;2020-11-08T21:29:27+01:00;10.091;null;642.291;642.344;null;null;null
78;2020-11-08T21:29:28+01:00;21.465;null;670.416;669.97;null;358.249;null
79;2020-11-08T21:29:29+01:00;6.138;null;706.243;705.978;null;1188.079;null
80;2020-11-08T21:29:30+01:00;38.669;null;843.227;840.757;null;1889.246;null
81;2020-11-08T21:29:31+01:00;19.777;null;942.865;942.946;null;942.119;null
82;2020-11-08T21:29:32+01:00;20.445;null;965.682;965.617;null;966.455;null
83;2020-11-08T21:29:33+01:00;18.841;null;998.405;999.986;null;998.757;null
84;2020-11-08T21:29:34+01:00;11.111;null;981.309;979.39;null;981.335;null
85;2020-11-08T21:29:35+01:00;7.547;null;952.872;953.741;null;953.466;null
