Time;Hour;STA 1;STA 2
1;2020-10-30T19:30:02+01:00;100;null
11;2020-10-30T19:30:12+01:00;100;100
21;2020-10-30T19:30:22+01:00;10;100
31;2020-10-30T19:30:32+01:00;11;100
41;2020-10-30T19:30:42+01:00;1.1;100
51;2020-10-30T19:30:52+01:00;1.2100000000000002;100
61;2020-10-30T19:31:02+01:00;1.3310000000000004;100
71;2020-10-30T19:31:12+01:00;1.4641000000000006;100
81;2020-10-30T19:31:22+01:00;1.6105100000000008;100
91;2020-10-30T19:31:32+01:00;1.771561000000001;100
101;2020-10-30T19:31:42+01:00;1.9487171000000014;100
111;2020-10-30T19:31:52+01:00;2.1435888100000016;100
121;2020-10-30T19:32:02+01:00;2.357947691000002;100
131;2020-10-30T19:32:12+01:00;2.5937424601000023;100
141;2020-10-30T19:32:22+01:00;2.853116706110003;100
151;2020-10-30T19:32:32+01:00;3.1384283767210035;100
161;2020-10-30T19:32:42+01:00;3.4522712143931042;100
171;2020-10-30T19:32:52+01:00;3.797498335832415;100
181;2020-10-30T19:33:02+01:00;4.177248169415656;100
191;2020-10-30T19:33:12+01:00;4.594972986357222;100
201;2020-10-30T19:33:22+01:00;5.054470284992944;100
211;2020-10-30T19:33:32+01:00;5.559917313492239;100
221;2020-10-30T19:33:42+01:00;1;100
231;2020-10-30T19:33:52+01:00;1.1;100
241;2020-10-30T19:34:02+01:00;1.2100000000000002;100
251;2020-10-30T19:34:12+01:00;1.3310000000000004;100
261;2020-10-30T19:34:22+01:00;1.4641000000000006;100
271;2020-10-30T19:34:32+01:00;1.6105100000000008;100
281;2020-10-30T19:34:42+01:00;1.771561000000001;100
291;2020-10-30T19:34:52+01:00;1.9487171000000014;100
301;2020-10-30T19:35:02+01:00;2.1435888100000016;100
