Time;Hour;0x02;0x03;QoS 1;BE 3;BE 4;0x00;0x01
1;2020-11-23T17:49:55+01:00;0;0;null;null;null;null;null
2;2020-11-23T17:49:56+01:00;0;0;null;null;null;0.000928;0
3;2020-11-23T17:49:57+01:00;0;0;null;null;null;0.000928;0
4;2020-11-23T17:49:58+01:00;0;0;null;null;null;0.000928;0
5;2020-11-23T17:49:59+01:00;null;null;null;null;null;null;null
6;2020-11-23T17:50:00+01:00;0;0;null;null;null;0.000928;0
7;2020-11-23T17:50:01+01:00;0;0;null;null;null;0.000928;0
8;2020-11-23T17:50:02+01:00;0;0;null;null;null;0.000928;0
9;2020-11-23T17:50:03+01:00;0;0;null;null;null;0.000928;0
10;2020-11-23T17:50:04+01:00;0;0;null;null;null;0.000928;0
11;2020-11-23T17:50:05+01:00;0;0;null;null;null;0.000928;0
12;2020-11-23T17:50:06+01:00;0;0;null;null;null;0.000928;0
13;2020-11-23T17:50:07+01:00;0;0;null;null;null;0.000928;0
14;2020-11-23T17:50:08+01:00;0;0;null;null;null;0.000928;0
15;2020-11-23T17:50:09+01:00;0;0;null;null;null;0.000928;0
16;2020-11-23T17:50:10+01:00;null;null;null;null;null;0;0
17;2020-11-23T17:50:11+01:00;0;0;null;null;0;0.000928;0
18;2020-11-23T17:50:12+01:00;0;0;null;null;0;0.000928;0
19;2020-11-23T17:50:13+01:00;0;0;null;null;null;0.000928;0
20;2020-11-23T17:50:14+01:00;0;0;null;null;3.893728;0.000928;0
21;2020-11-23T17:50:15+01:00;null;null;null;null;7.726752;null;null
22;2020-11-23T17:50:16+01:00;0;0;null;null;6.6861120000000005;0.001856;0
23;2020-11-23T17:50:17+01:00;null;null;null;null;null;0.000928;0
24;2020-11-23T17:50:18+01:00;0;0;null;null;7.71808;null;null
25;2020-11-23T17:50:19+01:00;0;0;null;null;7.336512;0.001856;0
26;2020-11-23T17:50:20+01:00;0;0;null;null;7.405888;null;null
27;2020-11-23T17:50:21+01:00;0;0;null;null;8.2384;0.001856;0
28;2020-11-23T17:50:22+01:00;0;0;null;null;7.440576;0.001856;0
29;2020-11-23T17:50:23+01:00;0;0;null;null;7.527296000000001;0.00248;null
30;2020-11-23T17:50:24+01:00;0;0;null;null;6.2871999999999995;null;0
31;2020-11-23T17:50:25+01:00;0;0;null;null;5.6194560000000005;0.001856;0
32;2020-11-23T17:50:26+01:00;0;0;null;null;5.584768;null;0
33;2020-11-23T17:50:27+01:00;0;0;null;null;5.185855999999999;0.001856;0
34;2020-11-23T17:50:28+01:00;0;0;null;null;5.454688;0.00248;0
35;2020-11-23T17:50:29+01:00;0;0;null;null;4.448736;0.001856;0
36;2020-11-23T17:50:30+01:00;0;0;null;null;null;0.001856;0
37;2020-11-23T17:50:31+01:00;0;0;null;null;null;0.001856;0
38;2020-11-23T17:50:32+01:00;0;0;null;null;null;0;0
39;2020-11-23T17:50:33+01:00;0;0;null;null;null;0;0
40;2020-11-23T17:50:34+01:00;0;0;null;null;null;0;0
41;2020-11-23T17:50:35+01:00;0;0;null;null;null;0;0
42;2020-11-23T17:50:36+01:00;0;0;null;null;null;0;0
43;2020-11-23T17:50:37+01:00;0;0;null;null;null;0;0
44;2020-11-23T17:50:38+01:00;0;0;null;null;null;0;0
45;2020-11-23T17:50:39+01:00;0;0;null;null;null;0;0
46;2020-11-23T17:50:40+01:00;0;0;null;null;null;0;0
47;2020-11-23T17:50:41+01:00;0;0;null;null;null;0;0
48;2020-11-23T17:50:42+01:00;0;0;null;null;null;0;0
49;2020-11-23T17:50:43+01:00;0;0;null;null;null;0;0
50;2020-11-23T17:50:44+01:00;0;0;null;null;null;0;0
51;2020-11-23T17:50:45+01:00;0;0;null;null;null;0;0
52;2020-11-23T17:50:46+01:00;0;0;null;null;null;0;0
53;2020-11-23T17:50:47+01:00;0;0;null;null;null;0;0
54;2020-11-23T17:50:48+01:00;0;0;null;null;null;0;0
55;2020-11-23T17:50:49+01:00;0;0;null;null;null;0;0
56;2020-11-23T17:50:50+01:00;0;0;null;null;null;0;0
57;2020-11-23T17:50:51+01:00;0;0;null;null;null;0;0
58;2020-11-23T17:50:52+01:00;0;0;null;null;null;0;0
59;2020-11-23T17:50:53+01:00;0;0;null;null;null;0;0
60;2020-11-23T17:50:54+01:00;0;0;null;null;null;0;0
61;2020-11-23T17:50:55+01:00;0;0;null;null;null;0;0
62;2020-11-23T17:50:56+01:00;0;0;null;null;null;0;0
63;2020-11-23T17:50:57+01:00;0;0;null;null;null;0;0
64;2020-11-23T17:50:58+01:00;0;0;null;null;null;0;0
65;2020-11-23T17:50:59+01:00;0;0;null;null;null;0;0
66;2020-11-23T17:51:00+01:00;0;0;null;null;null;0;0
67;2020-11-23T17:51:01+01:00;0;0;null;null;null;0;0
68;2020-11-23T17:51:02+01:00;0;0;null;null;null;0;0
69;2020-11-23T17:51:03+01:00;0;0;null;null;null;0;0
70;2020-11-23T17:51:04+01:00;0;0;null;null;null;0;0
71;2020-11-23T17:51:05+01:00;0;0;null;null;null;0;0
72;2020-11-23T17:51:06+01:00;0;0;null;null;null;0;0
73;2020-11-23T17:51:07+01:00;0;0;null;null;null;0;0
74;2020-11-23T17:51:08+01:00;0;0;null;null;null;0;0
75;2020-11-23T17:51:09+01:00;0;0;null;null;null;0;0
76;2020-11-23T17:51:10+01:00;0;0;null;null;0;0;0
77;2020-11-23T17:51:11+01:00;0;0;null;null;0;0;0
78;2020-11-23T17:51:12+01:00;null;null;null;null;null;null;null
79;2020-11-23T17:51:13+01:00;0;0;null;null;1.482912;0;0
80;2020-11-23T17:51:14+01:00;0;0;null;null;2.584256;0.010656;0
81;2020-11-23T17:51:15+01:00;null;null;null;null;null;0.013456;0
82;2020-11-23T17:51:16+01:00;0;0;null;null;4.63952;0.012832000000000001;null
83;2020-11-23T17:51:17+01:00;0;0;null;null;5.749536;0.011583999999999999;0
84;2020-11-23T17:51:18+01:00;0;0;null;null;4.483424;null;null
85;2020-11-23T17:51:19+01:00;0;0;null;null;4.743584;0.011583999999999999;0
86;2020-11-23T17:51:20+01:00;null;null;null;null;5.567424;0.012208;0
87;2020-11-23T17:51:21+01:00;0;0;null;null;4.838976;0.011583999999999999;0
88;2020-11-23T17:51:22+01:00;0;0;null;null;5.185855999999999;0.011583999999999999;0
89;2020-11-23T17:51:23+01:00;0;0;null;null;null;0.011583999999999999;0
90;2020-11-23T17:51:24+01:00;null;null;null;null;5.0297600000000005;null;null
91;2020-11-23T17:51:25+01:00;0;0;null;null;5.498048;0.011583999999999999;0
92;2020-11-23T17:51:26+01:00;0;0;null;null;4.795616;0.011583999999999999;0
93;2020-11-23T17:51:27+01:00;0;0;null;null;4.5874880000000005;0.011583999999999999;0
94;2020-11-23T17:51:28+01:00;0;null;null;null;5.5414080000000006;0.011583999999999999;0
95;2020-11-23T17:51:29+01:00;null;0;null;null;5.411328;0.010656;0
96;2020-11-23T17:51:30+01:00;0;0;null;null;null;0.011583999999999999;0
97;2020-11-23T17:51:31+01:00;0;0;null;null;null;0.011583999999999999;0
98;2020-11-23T17:51:32+01:00;0;0;null;null;null;0.005791999999999999;0
99;2020-11-23T17:51:33+01:00;0;0;null;null;null;0;0
100;2020-11-23T17:51:34+01:00;0;0;null;null;null;0;0
101;2020-11-23T17:51:35+01:00;0;0;null;null;null;0;0
102;2020-11-23T17:51:36+01:00;0;0;null;null;null;0;0
103;2020-11-23T17:51:37+01:00;0;0;null;null;null;0;0
104;2020-11-23T17:51:38+01:00;0;0;null;null;null;0;0
105;2020-11-23T17:51:39+01:00;0;0;null;null;null;0;0
106;2020-11-23T17:51:40+01:00;null;null;null;null;null;0;0
107;2020-11-23T17:51:41+01:00;0;0;null;null;null;0;0
108;2020-11-23T17:51:42+01:00;0;0;null;null;null;0;0
109;2020-11-23T17:51:43+01:00;0;0;null;null;null;0;0
110;2020-11-23T17:51:44+01:00;0;0;null;null;null;0;0
111;2020-11-23T17:51:45+01:00;0;0;null;null;null;0;0
112;2020-11-23T17:51:46+01:00;0;0;null;null;null;0;0
113;2020-11-23T17:51:47+01:00;0;0;null;null;null;0;0
114;2020-11-23T17:51:48+01:00;0;0;null;null;null;0;0
115;2020-11-23T17:51:49+01:00;0;0;null;null;null;0;0
116;2020-11-23T17:51:50+01:00;0;0;null;null;0;0;0
117;2020-11-23T17:51:51+01:00;0;0;null;null;0;0;0
118;2020-11-23T17:51:52+01:00;null;null;null;null;null;null;null
119;2020-11-23T17:51:53+01:00;0;0;null;null;0.8411839999999999;0;0
120;2020-11-23T17:51:54+01:00;0;0;null;null;1.17072;0.011583999999999999;0
121;2020-11-23T17:51:55+01:00;0;0;null;null;3.3820799999999998;null;0
122;2020-11-23T17:51:56+01:00;0;0;null;null;4.648192;0.012208;0
123;2020-11-23T17:51:57+01:00;0;0;null;null;4.656864;0.012208;0
124;2020-11-23T17:51:58+01:00;0;0;null;null;4.283968;0.01128;0
125;2020-11-23T17:51:59+01:00;0;0;null;null;4.483424;0.010656;0
126;2020-11-23T17:52:00+01:00;0;0;null;null;4.89968;null;null
127;2020-11-23T17:52:01+01:00;0;0;null;null;5.07312;0.011583999999999999;0
128;2020-11-23T17:52:02+01:00;null;null;null;null;null;0.01376;0
129;2020-11-23T17:52:03+01:00;0;0;null;null;null;0.010656;0
130;2020-11-23T17:52:04+01:00;0;0;null;null;null;null;null
131;2020-11-23T17:52:05+01:00;0;0;null;null;null;0.010656;0
132;2020-11-23T17:52:06+01:00;0;0;null;null;null;0.012208;0
133;2020-11-23T17:52:07+01:00;0;0;null;null;null;0.011583999999999999;0
134;2020-11-23T17:52:08+01:00;0;0;null;null;null;0.011583999999999999;0
135;2020-11-23T17:52:09+01:00;0;0;null;null;null;0.011583999999999999;0
136;2020-11-23T17:52:10+01:00;0;0;null;null;null;0.010656;0
137;2020-11-23T17:52:11+01:00;0;0;null;null;null;0.011583999999999999;0
138;2020-11-23T17:52:12+01:00;0;0;null;null;null;0.005791999999999999;0
139;2020-11-23T17:52:13+01:00;0;0;null;null;null;0;0
140;2020-11-23T17:52:14+01:00;0;0;null;null;null;0;0
141;2020-11-23T17:52:15+01:00;0;0;null;null;null;0;0
142;2020-11-23T17:52:16+01:00;0;0;null;null;null;0;0
143;2020-11-23T17:52:17+01:00;0;0;null;null;null;0;0
144;2020-11-23T17:52:18+01:00;0;0;null;null;null;0;0
145;2020-11-23T17:52:19+01:00;0;0;null;null;null;0;0
146;2020-11-23T17:52:20+01:00;0;0;null;null;null;0;0
147;2020-11-23T17:52:21+01:00;0;0;null;null;null;0;0
148;2020-11-23T17:52:22+01:00;0;0;null;null;null;0;0
149;2020-11-23T17:52:23+01:00;0;0;null;null;null;0;0
150;2020-11-23T17:52:24+01:00;0;0;null;null;null;0;0
151;2020-11-23T17:52:25+01:00;0;0;null;null;null;0;0
152;2020-11-23T17:52:26+01:00;0;0;null;null;null;0;0
153;2020-11-23T17:52:27+01:00;0;0;null;null;null;0;0
154;2020-11-23T17:52:28+01:00;0;0;null;null;null;0;0
155;2020-11-23T17:52:29+01:00;0;0;null;null;null;0;0
156;2020-11-23T17:52:30+01:00;0;0;null;null;null;0;0
157;2020-11-23T17:52:31+01:00;0;0;null;null;null;0;0
158;2020-11-23T17:52:32+01:00;0;0;null;null;null;0;0
159;2020-11-23T17:52:33+01:00;0;0;null;null;null;0;0
