Time;Hour;STA 6;STA 5;STA 4;BE 2;QoS 2;BE 1
1;2020-11-23T17:49:55+01:00;0.000733615;0.000723963;0.00073197;null;null;null
2;2020-11-23T17:49:56+01:00;0.000897841;0.000897316;0.000930874;null;null;null
3;2020-11-23T17:49:57+01:00;0.000832785;0.000859811;0.000888918;null;null;null
4;2020-11-23T17:49:58+01:00;0.001453399;0.000708273;0.00066656;null;null;null
5;2020-11-23T17:49:59+01:00;0.000738573;0.000762061;0.000709232;null;null;null
6;2020-11-23T17:50:00+01:00;null;null;null;null;null;null
7;2020-11-23T17:50:01+01:00;0;0.000901822;0.000858263;null;null;null
8;2020-11-23T17:50:02+01:00;0.000953099;0.001358464;0.001030914;null;null;null
9;2020-11-23T17:50:03+01:00;0.000784708;0.000800835;0.00080601;null;null;null
10;2020-11-23T17:50:04+01:00;0.000714737;0.000721395;0.000701016;null;null;null
11;2020-11-23T17:50:05+01:00;0.030171828;0.02922939;0.000764883;null;null;null
12;2020-11-23T17:50:06+01:00;0.005791328;0.005890187;0.00088438;null;null;null
13;2020-11-23T17:50:07+01:00;0.005568556;0.005486909;0.000791494;null;null;null
14;2020-11-23T17:50:08+01:00;0.005249277;0.005244451;0.00071751;null;null;null
15;2020-11-23T17:50:09+01:00;0.005430632;0.005458612;0.000768129;null;null;null
16;2020-11-23T17:50:10+01:00;null;null;null;null;null;null
17;2020-11-23T17:50:11+01:00;null;0.005258241;0;null;null;null
18;2020-11-23T17:50:12+01:00;null;0.004688976;0;null;null;null
19;2020-11-23T17:50:13+01:00;0;0.004713639;0;null;null;null
20;2020-11-23T17:50:14+01:00;0.00470575;0.004748851;0;null;null;null
21;2020-11-23T17:50:15+01:00;0.00405157;0.004458925;0;null;null;null
22;2020-11-23T17:50:16+01:00;0.005848367;0.005004612;0;null;null;null
23;2020-11-23T17:50:17+01:00;0.004126957;0.004566238;0;null;null;null
24;2020-11-23T17:50:18+01:00;null;0.004527273;null;null;null;null
25;2020-11-23T17:50:19+01:00;0;0.004930069;0;null;null;null
26;2020-11-23T17:50:20+01:00;null;0.004415934;null;null;null;null
27;2020-11-23T17:50:21+01:00;0;0.005022504;0;null;null;null
28;2020-11-23T17:50:22+01:00;0.00474587;0.004703181;0;null;null;null
29;2020-11-23T17:50:23+01:00;0.004454544;0.004653749;0.009656349;null;null;null
30;2020-11-23T17:50:24+01:00;null;0.015542007;null;null;null;null
31;2020-11-23T17:50:25+01:00;0;0.005321215;0.000877577;null;null;null
32;2020-11-23T17:50:26+01:00;null;0.005468675;null;null;null;null
33;2020-11-23T17:50:27+01:00;0.003957091;0.005806743;0.000648884;null;null;null
34;2020-11-23T17:50:28+01:00;0.010306034;0.005521472;0.000882748;null;null;null
35;2020-11-23T17:50:29+01:00;0.001011654;0.005791306;0.000976358;null;null;null
36;2020-11-23T17:50:30+01:00;null;null;null;null;null;null
37;2020-11-23T17:50:31+01:00;null;null;null;null;null;null
38;2020-11-23T17:50:32+01:00;null;0.004763445;null;null;null;null
39;2020-11-23T17:50:33+01:00;0.000781802;0.004574782;0;null;null;null
40;2020-11-23T17:50:34+01:00;0.008646887;0.004849253;0.003110951;null;null;null
41;2020-11-23T17:50:35+01:00;0.005462354;0.004681145;0.003071729;null;null;null
42;2020-11-23T17:50:36+01:00;0.005378546;0.004691577;0.000771672;null;null;null
43;2020-11-23T17:50:37+01:00;null;0.004827144;null;null;null;null
44;2020-11-23T17:50:38+01:00;0.005008285;0.004874201;0.000698547;null;null;null
45;2020-11-23T17:50:39+01:00;0.005464921;0.004553601;0.000762022;null;null;null
46;2020-11-23T17:50:40+01:00;0.004983493;0.004553754;0;null;null;null
47;2020-11-23T17:50:41+01:00;0.005980147;0.005120397;0.001747953;null;null;null
48;2020-11-23T17:50:42+01:00;0.005859679;0.004703081;0.000813181;null;null;null
49;2020-11-23T17:50:43+01:00;0.005220542;0.004550516;0.000739083;null;null;null
50;2020-11-23T17:50:44+01:00;0.005689189;0.004762851;0.000815504;null;null;null
51;2020-11-23T17:50:45+01:00;0.005026497;0.004496493;0.000711808;null;null;null
52;2020-11-23T17:50:46+01:00;0.006520061;0.005171997;0.00092903;null;null;null
53;2020-11-23T17:50:47+01:00;0.005233742;0.004691433;0.000763759;null;null;null
54;2020-11-23T17:50:48+01:00;0.005284583;0.004538829;0.000744857;null;null;null
55;2020-11-23T17:50:49+01:00;0.006101222;0.004963247;0;null;null;null
56;2020-11-23T17:50:50+01:00;null;null;null;null;null;null
57;2020-11-23T17:50:51+01:00;null;0.005126113;null;null;null;null
58;2020-11-23T17:50:52+01:00;null;0.003862849;null;null;null;null
59;2020-11-23T17:50:53+01:00;0.004886628;0.007321057;0;null;null;null
60;2020-11-23T17:50:54+01:00;null;null;null;null;null;null
61;2020-11-23T17:50:55+01:00;0.005164212;0.005879805;0;null;null;null
62;2020-11-23T17:50:56+01:00;0.004990606;0.005740915;0;null;null;null
63;2020-11-23T17:50:57+01:00;0.004981393;0.00569382;0;null;null;null
64;2020-11-23T17:50:58+01:00;0.00492925;0.005996735;0;null;null;null
65;2020-11-23T17:50:59+01:00;null;0.004701709;0;null;null;null
66;2020-11-23T17:51:00+01:00;0.003973732;0.005318112;null;null;null;null
67;2020-11-23T17:51:01+01:00;0.005332032;0.006135798;0;null;null;null
68;2020-11-23T17:51:02+01:00;0.004728542;0.005509305;0;null;null;null
69;2020-11-23T17:51:03+01:00;0.004535237;0.005334314;0;null;null;null
70;2020-11-23T17:51:04+01:00;0.005545531;0.006915461;0;null;null;null
71;2020-11-23T17:51:05+01:00;null;0.00435538;null;0;null;0
72;2020-11-23T17:51:06+01:00;0.007057002;0.007812166;0;0;null;0
73;2020-11-23T17:51:07+01:00;0.00405826;0.004669556;0;0;null;0
74;2020-11-23T17:51:08+01:00;0.004428814;0.005281753;0;0;null;0
75;2020-11-23T17:51:09+01:00;0.004708014;0.005495811;0;0;null;0
76;2020-11-23T17:51:10+01:00;null;null;null;null;null;null
77;2020-11-23T17:51:11+01:00;null;0.005336742;null;null;null;null
78;2020-11-23T17:51:12+01:00;null;0.00435045;null;0;null;0
79;2020-11-23T17:51:13+01:00;0.008314667;0.004850642;0.001014718;0;null;0
