Time,Hour,STA 6,STA 5,STA 4,STA 3,STA 2,STA 1
1,2020-11-09T19:07:16+01:00,0,0,0,0,1,1
2,2020-11-09T19:07:17+01:00,0,0,0,0,1,1
3,2020-11-09T19:07:18+01:00,0,0,0,0,1,1
4,2020-11-09T19:07:19+01:00,0,0,0,0,1,1
5,2020-11-09T19:07:20+01:00,0,0,0,0,1,1
6,2020-11-09T19:07:21+01:00,0,0,0,0,1,1
7,2020-11-09T19:07:22+01:00,0,0,0,0,1,1
8,2020-11-09T19:07:23+01:00,0,0,0,0,1,1
9,2020-11-09T19:07:24+01:00,0,0,0,0,1,1
10,2020-11-09T19:07:25+01:00,0,0,0,0,1,1
11,2020-11-09T19:07:26+01:00,0,0,0,0,1,1
12,2020-11-09T19:07:27+01:00,0,0,0,0,1,1
13,2020-11-09T19:07:28+01:00,0,0,0,0,1,1
14,2020-11-09T19:07:29+01:00,0,0,0,0,1,1
15,2020-11-09T19:07:30+01:00,0,0,0,0,1,1
16,2020-11-09T19:07:31+01:00,0,0,0,0,1,1
17,2020-11-09T19:07:32+01:00,0,0,0,0,1,1
18,2020-11-09T19:07:33+01:00,0,0,0,0,1,1
19,2020-11-09T19:07:34+01:00,0,0,0,0,1,1
20,2020-11-09T19:07:35+01:00,0,0,0,0,1,1
21,2020-11-09T19:07:36+01:00,0,0,0,0,1,1
22,2020-11-09T19:07:37+01:00,0,0,0,0,1,1
23,2020-11-09T19:07:38+01:00,0,0,0,0,1,1
24,2020-11-09T19:07:39+01:00,0,0,0,0,1,1
25,2020-11-09T19:07:40+01:00,0,1,0,0,1,1
26,2020-11-09T19:07:41+01:00,0,1,0,0,1,1
27,2020-11-09T19:07:42+01:00,0,1,0,0,1,1
28,2020-11-09T19:07:43+01:00,0,1,0,0,1,1
29,2020-11-09T19:07:44+01:00,0,1,0,0,1,1
30,2020-11-09T19:07:45+01:00,0,1,0,0,1,1
31,2020-11-09T19:07:46+01:00,0,1,0,0,1,1
32,2020-11-09T19:07:47+01:00,0,1,0,0,1,1
33,2020-11-09T19:07:48+01:00,0,1,0,0,1,1
34,2020-11-09T19:07:49+01:00,0,1,0,0,1,1
35,2020-11-09T19:07:50+01:00,0,1,0,0,1,1
36,2020-11-09T19:07:51+01:00,0,1,0,0,1,1
37,2020-11-09T19:07:52+01:00,0,1,0,0,1,1
38,2020-11-09T19:07:53+01:00,0,1,0,0,1,1
39,2020-11-09T19:07:54+01:00,0,1,0,0,1,1
40,2020-11-09T19:07:55+01:00,0,1,0,0,1,1
41,2020-11-09T19:07:56+01:00,0,1,0,0,1,1
42,2020-11-09T19:07:57+01:00,0,1,0,0,1,1
43,2020-11-09T19:07:58+01:00,0,1,0,0,1,1
44,2020-11-09T19:07:59+01:00,0,1,0,0,1,1
45,2020-11-09T19:08:00+01:00,0,1,0,0,1,1
46,2020-11-09T19:08:01+01:00,0,1,0,0,1,1
47,2020-11-09T19:08:02+01:00,0,1,0,0,1,1
48,2020-11-09T19:08:03+01:00,0,1,0,0,1,1
49,2020-11-09T19:08:04+01:00,0,1,0,0,1,1
50,2020-11-09T19:08:05+01:00,0,1,0,0,1,1
51,2020-11-09T19:08:06+01:00,0,1,0,0,1,1
52,2020-11-09T19:08:07+01:00,0,1,0,0,1,1
53,2020-11-09T19:08:08+01:00,0,1,0,0,1,1
54,2020-11-09T19:08:09+01:00,0,1,0,0,1,1
55,2020-11-09T19:08:10+01:00,0,1,0,0,1,1
56,2020-11-09T19:08:11+01:00,0,1,0,0,1,1
57,2020-11-09T19:08:12+01:00,0,1,0,0,1,1
58,2020-11-09T19:08:13+01:00,0,1,0,0,1,1
59,2020-11-09T19:08:14+01:00,0,1,0,0,1,1
60,2020-11-09T19:08:15+01:00,0,1,0,0,1,1
61,2020-11-09T19:08:16+01:00,0,1,0,0,1,1
62,2020-11-09T19:08:17+01:00,0,1,0,0,1,1
63,2020-11-09T19:08:18+01:00,0,1,0,0,1,1
64,2020-11-09T19:08:19+01:00,0,1,0,0,1,1
65,2020-11-09T19:08:20+01:00,0,1,0,0,1,1
