Time;Hour;STA 6;STA 5;STA 4;STA 3;STA 2;STA 1
1;2020-11-09T19:07:16+01:00;1;1;0;0;0;0
2;2020-11-09T19:07:17+01:00;1;1;0;0;0;0
3;2020-11-09T19:07:18+01:00;1;1;0;0;0;0
4;2020-11-09T19:07:19+01:00;1;1;0;0;0;0
5;2020-11-09T19:07:20+01:00;1;1;0;0;0;0
6;2020-11-09T19:07:21+01:00;1;1;0;0;0;0
7;2020-11-09T19:07:22+01:00;1;1;0;0;0;0
8;2020-11-09T19:07:23+01:00;1;1;0;0;0;0
9;2020-11-09T19:07:24+01:00;1;1;0;0;0;0
10;2020-11-09T19:07:25+01:00;1;1;0;0;0;0
11;2020-11-09T19:07:26+01:00;1;1;0;0;0;0
12;2020-11-09T19:07:27+01:00;1;1;0;0;0;0
13;2020-11-09T19:07:28+01:00;1;1;0;0;0;0
14;2020-11-09T19:07:29+01:00;1;1;0;0;0;0
15;2020-11-09T19:07:30+01:00;1;1;0;0;0;0
16;2020-11-09T19:07:31+01:00;1;1;0;0;0;0
17;2020-11-09T19:07:32+01:00;1;1;0;0;0;0
18;2020-11-09T19:07:33+01:00;1;1;0;0;0;0
19;2020-11-09T19:07:34+01:00;1;1;0;0;0;0
20;2020-11-09T19:07:35+01:00;1;1;0;0;0;0
21;2020-11-09T19:07:36+01:00;1;1;0;0;0;0
22;2020-11-09T19:07:37+01:00;1;1;0;0;0;0
23;2020-11-09T19:07:38+01:00;1;0;0;0;0;0
24;2020-11-09T19:07:39+01:00;1;0;0;0;0;0
25;2020-11-09T19:07:40+01:00;1;0;0;0;0;0
26;2020-11-09T19:07:41+01:00;1;0;0;0;0;0
27;2020-11-09T19:07:42+01:00;1;0;0;0;0;0
28;2020-11-09T19:07:43+01:00;1;0;0;0;0;0
29;2020-11-09T19:07:44+01:00;1;0;0;0;0;0
30;2020-11-09T19:07:45+01:00;1;0;0;0;0;0
31;2020-11-09T19:07:46+01:00;1;0;0;0;0;0
32;2020-11-09T19:07:47+01:00;1;0;0;0;0;0
33;2020-11-09T19:07:48+01:00;1;0;0;0;0;0
34;2020-11-09T19:07:49+01:00;1;0;0;0;0;0
35;2020-11-09T19:07:50+01:00;1;0;0;0;0;0
36;2020-11-09T19:07:51+01:00;1;0;0;0;0;0
37;2020-11-09T19:07:52+01:00;1;0;0;0;0;0
38;2020-11-09T19:07:53+01:00;1;0;0;0;0;0
39;2020-11-09T19:07:54+01:00;1;0;0;0;0;0
40;2020-11-09T19:07:55+01:00;1;0;0;0;0;0
41;2020-11-09T19:07:56+01:00;1;0;0;0;0;0
42;2020-11-09T19:07:57+01:00;1;0;0;0;0;0
