Time;Hour;0x00;0x01;0x02;0x03;QoS 1;BE 3;BE 4
1;2020-11-23T18:45:44+01:00;null;null;null;null;null;null;null
2;2020-11-23T18:45:45+01:00;null;null;null;null;null;null;null
3;2020-11-23T18:45:46+01:00;null;null;null;null;null;null;null
4;2020-11-23T18:45:47+01:00;null;null;null;null;null;null;null
5;2020-11-23T18:45:48+01:00;null;null;null;null;null;null;null
6;2020-11-23T18:45:49+01:00;null;null;null;null;null;null;null
7;2020-11-23T18:45:50+01:00;null;null;null;null;null;null;null
8;2020-11-23T18:45:51+01:00;null;null;null;null;null;null;null
9;2020-11-23T18:45:52+01:00;null;null;null;null;null;null;null
10;2020-11-23T18:45:53+01:00;null;null;null;null;null;null;null
11;2020-11-23T18:45:54+01:00;null;null;null;null;null;null;null
12;2020-11-23T18:45:55+01:00;null;null;null;null;null;null;null
13;2020-11-23T18:45:56+01:00;null;null;null;null;null;null;null
14;2020-11-23T18:45:57+01:00;null;null;null;null;null;null;null
15;2020-11-23T18:45:58+01:00;null;null;null;null;null;null;null
16;2020-11-23T18:45:59+01:00;null;null;null;null;null;null;null
17;2020-11-23T18:46:00+01:00;null;null;null;null;null;null;null
18;2020-11-23T18:46:01+01:00;null;null;null;null;null;null;null
19;2020-11-23T18:46:02+01:00;null;null;null;null;null;null;null
20;2020-11-23T18:46:03+01:00;null;null;null;null;null;null;null
21;2020-11-23T18:46:04+01:00;null;null;null;null;null;null;null
22;2020-11-23T18:46:05+01:00;null;null;null;null;null;262.582;null
23;2020-11-23T18:46:06+01:00;0.122;null;null;null;null;318.3;null
24;2020-11-23T18:46:07+01:00;11.527;null;null;null;null;383.176;null
25;2020-11-23T18:46:08+01:00;27.239;null;null;null;null;375.826;null
26;2020-11-23T18:46:09+01:00;2.811;null;null;null;null;430.865;null
27;2020-11-23T18:46:10+01:00;2.758;null;null;null;null;408.616;null
28;2020-11-23T18:46:11+01:00;21.833;null;null;null;null;423.024;null
29;2020-11-23T18:46:12+01:00;11.206;null;null;null;null;373.651;null
30;2020-11-23T18:46:13+01:00;27.046;null;null;null;null;379.734;null
31;2020-11-23T18:46:14+01:00;6.42;null;null;null;null;377.82;null
32;2020-11-23T18:46:15+01:00;4.068;null;null;null;null;390.075;null
33;2020-11-23T18:46:16+01:00;7.826;null;null;null;null;410.241;null
34;2020-11-23T18:46:17+01:00;34.734;null;null;null;null;362.062;null
35;2020-11-23T18:46:18+01:00;3.988;null;null;null;null;374.904;null
36;2020-11-23T18:46:19+01:00;14.705;null;null;null;null;369.131;null
37;2020-11-23T18:46:20+01:00;28.768;null;null;null;null;359.329;null
38;2020-11-23T18:46:21+01:00;20.488;null;null;null;null;383.229;null
39;2020-11-23T18:46:22+01:00;2.58;null;null;null;null;null;null
40;2020-11-23T18:46:23+01:00;null;null;null;null;null;351.439;null
41;2020-11-23T18:46:24+01:00;18.519;null;null;null;null;357.495;null
42;2020-11-23T18:46:25+01:00;18.764;null;null;null;null;356.88;null
43;2020-11-23T18:46:26+01:00;3.852;null;null;null;null;383.45;null
44;2020-11-23T18:46:27+01:00;34.286;null;null;null;null;434.648;null
45;2020-11-23T18:46:28+01:00;null;null;null;null;null;576.134;null
46;2020-11-23T18:46:29+01:00;60.179;null;null;null;null;571.439;null
47;2020-11-23T18:46:30+01:00;46.659;null;null;null;null;633.121;null
48;2020-11-23T18:46:31+01:00;1.001;null;null;null;null;551.094;null
49;2020-11-23T18:46:32+01:00;46.197;null;null;null;null;567.017;null
50;2020-11-23T18:46:33+01:00;50.284;null;null;null;null;425.711;null
51;2020-11-23T18:46:34+01:00;18.988;null;null;null;null;530.846;null
52;2020-11-23T18:46:35+01:00;24.203;null;null;null;null;527.136;null
53;2020-11-23T18:46:36+01:00;43.448;null;null;null;null;503.525;null
54;2020-11-23T18:46:37+01:00;14.897;null;null;null;null;407.915;null
55;2020-11-23T18:46:38+01:00;12.21;null;null;null;null;375.485;null
56;2020-11-23T18:46:39+01:00;17.874;null;null;null;null;342.565;null
57;2020-11-23T18:46:40+01:00;4.378;null;null;null;null;397.299;null
58;2020-11-23T18:46:41+01:00;0.488;null;null;null;null;530.189;null
59;2020-11-23T18:46:42+01:00;14.635;null;null;null;null;541.119;null
60;2020-11-23T18:46:43+01:00;null;null;null;null;null;560.25;null
61;2020-11-23T18:46:44+01:00;30.654;null;null;null;null;519.979;null
62;2020-11-23T18:46:45+01:00;17.632;null;null;null;null;532.291;null
63;2020-11-23T18:46:46+01:00;14.544;null;null;null;null;561.71;null
64;2020-11-23T18:46:47+01:00;22.861;null;null;null;null;537.478;null
65;2020-11-23T18:46:48+01:00;13.607;null;null;null;null;428.545;null
66;2020-11-23T18:46:49+01:00;30.862;null;null;null;null;480.364;null
67;2020-11-23T18:46:50+01:00;25.96;null;null;null;null;536.664;null
68;2020-11-23T18:46:51+01:00;1.045;null;null;null;null;459.953;null
69;2020-11-23T18:46:52+01:00;0.46;null;null;null;null;431.941;null
70;2020-11-23T18:46:53+01:00;41.112;null;null;null;null;516.024;null
71;2020-11-23T18:46:54+01:00;18.163;null;null;null;null;494.45;null
72;2020-11-23T18:46:55+01:00;1.596;null;null;null;null;476.978;null
73;2020-11-23T18:46:56+01:00;2.5;null;null;null;null;588.464;null
74;2020-11-23T18:46:57+01:00;45.043;null;null;null;null;524.526;null
75;2020-11-23T18:46:58+01:00;47.665;null;null;null;null;751.816;null
76;2020-11-23T18:46:59+01:00;38.55;null;null;null;null;703.613;null
77;2020-11-23T18:47:00+01:00;33.593;null;null;null;null;643.003;null
78;2020-11-23T18:47:01+01:00;67.407;null;null;null;null;708.61;null
79;2020-11-23T18:47:02+01:00;39.227;null;null;null;null;null;null
80;2020-11-23T18:47:03+01:00;39.227;null;null;null;null;587.83;null
81;2020-11-23T18:47:04+01:00;58.099;null;null;null;null;700.353;null
82;2020-11-23T18:47:05+01:00;30;null;null;null;null;552.016;null
83;2020-11-23T18:47:06+01:00;49.572;null;null;null;null;644.353;null
84;2020-11-23T18:47:07+01:00;37.487;null;null;null;null;768.525;null
85;2020-11-23T18:47:08+01:00;30.573;null;null;null;null;780.13;null
86;2020-11-23T18:47:09+01:00;76.439;null;null;null;null;516.413;null
87;2020-11-23T18:47:10+01:00;26.34;null;null;null;null;606.168;null
88;2020-11-23T18:47:11+01:00;26.688;null;null;null;null;498.948;null
89;2020-11-23T18:47:12+01:00;24.933;null;null;null;null;595.369;null
90;2020-11-23T18:47:13+01:00;39.65;null;null;null;null;626.213;null
91;2020-11-23T18:47:14+01:00;31.807;null;null;null;null;644.032;null
92;2020-11-23T18:47:15+01:00;37.054;null;null;null;null;655.075;null
93;2020-11-23T18:47:16+01:00;32.806;null;null;null;null;676.054;null
94;2020-11-23T18:47:17+01:00;32.806;null;null;null;null;628.638;null
95;2020-11-23T18:47:18+01:00;41.488;null;null;null;null;667.947;null
96;2020-11-23T18:47:19+01:00;70.183;null;null;null;null;626.152;null
97;2020-11-23T18:47:20+01:00;63.819;null;null;null;null;525.391;null
98;2020-11-23T18:47:21+01:00;1.251;null;null;null;null;757.429;null
99;2020-11-23T18:47:22+01:00;15.33;null;null;null;null;null;null
100;2020-11-23T18:47:23+01:00;null;null;null;null;null;790.2;null
101;2020-11-23T18:47:24+01:00;33.129;null;null;null;null;681.386;null
102;2020-11-23T18:47:25+01:00;29.609;null;null;null;null;633.562;null
103;2020-11-23T18:47:26+01:00;19.541;null;null;null;null;583.786;null
104;2020-11-23T18:47:27+01:00;35.178;null;null;null;null;560.381;null
105;2020-11-23T18:47:28+01:00;58.629;null;null;null;null;580.492;null
106;2020-11-23T18:47:29+01:00;20.819;null;null;null;null;463.102;null
107;2020-11-23T18:47:30+01:00;20.819;null;null;null;null;609.152;null
108;2020-11-23T18:47:31+01:00;28.609;null;null;null;null;682.409;null
109;2020-11-23T18:47:32+01:00;44.533;null;null;null;null;699.69;null
110;2020-11-23T18:47:33+01:00;73.234;null;null;null;null;622.933;null
111;2020-11-23T18:47:34+01:00;18.437;null;null;null;null;649.304;null
112;2020-11-23T18:47:35+01:00;19.372;null;null;null;null;699.65;null
