Time;Hour;STA 6;STA 5;STA 4;BE 2;QoS 2;BE 1
1;2020-11-23T18:45:44+01:00;0,000803031;0,000814653;0,000816612;null;null;null
2;2020-11-23T18:45:45+01:00;0,000808;0,000799411;0,000799553;null;null;null
3;2020-11-23T18:45:46+01:00;0,000785945;0,000784887;0,000770231;null;null;null
4;2020-11-23T18:45:47+01:00;0,001293254;0,001302793;0,000659609;null;null;null
5;2020-11-23T18:45:48+01:00;0;0;0,001006161;null;null;null
6;2020-11-23T18:45:49+01:00;0,000742329;0,001485803;0,000743095;null;null;null
7;2020-11-23T18:45:50+01:00;0,00077794;0,000778208;0,000778366;null;null;null
8;2020-11-23T18:45:51+01:00;0,000771863;0,000771456;0,000771186;null;null;null
9;2020-11-23T18:45:52+01:00;0,000721804;0;0,000725206;null;null;null
10;2020-11-23T18:45:53+01:00;0,033801664;0,036497464;0,0010091;null;null;null
11;2020-11-23T18:45:54+01:00;0,005745393;0,00539096;0,00074916;null;null;null
12;2020-11-23T18:45:55+01:00;0,005396299;0,005407159;0,000753767;null;null;null
13;2020-11-23T18:45:56+01:00;0,005632244;0,005626991;0,000837282;null;null;null
14;2020-11-23T18:45:57+01:00;0,005141066;0,005133494;0,00071807;null;null;null
15;2020-11-23T18:45:58+01:00;0,005952673;0,005952916;0,000853639;null;null;null
16;2020-11-23T18:45:59+01:00;0,004997162;0,005044133;0,000716355;null;null;null
17;2020-11-23T18:46:00+01:00;0,006223625;0,006166129;0,000875834;null;null;null
18;2020-11-23T18:46:01+01:00;0,005502671;0,005520529;0,000787132;null;null;null
19;2020-11-23T18:46:02+01:00;0,007900043;null;0,001088946;null;null;null
20;2020-11-23T18:46:03+01:00;0;null;0;null;null;null
21;2020-11-23T18:46:04+01:00;0,006146104;null;0,000959316;null;null;null
22;2020-11-23T18:46:05+01:00;0,005655012;0,005020048;0,000805703;null;null;null
23;2020-11-23T18:46:06+01:00;0,005330858;0,004758788;0,000817701;null;null;null
24;2020-11-23T18:46:07+01:00;0,005272579;0,004268667;0,000689347;null;null;null
25;2020-11-23T18:46:08+01:00;0,006098108;0,005629887;0,000889662;null;null;null
26;2020-11-23T18:46:09+01:00;0,005145967;0,004049178;0,000718723;null;null;null
27;2020-11-23T18:46:10+01:00;0,005523846;0,005395244;0,00087835;null;null;null
