#;approach;throughput;slice
1;Gómez et al.;null;BE 1
2;Gómez et al.;null;BE 1
3;Gómez et al.;null;BE 1
4;Gómez et al.;null;BE 1
5;Gómez et al.;null;BE 1
6;Gómez et al.;null;BE 1
7;Gómez et al.;null;BE 1
8;Gómez et al.;null;BE 1
9;Gómez et al.;null;BE 1
10;Gómez et al.;null;BE 1
11;Gómez et al.;null;BE 1
12;Gómez et al.;null;BE 1
13;Gómez et al.;null;BE 1
14;Gómez et al.;null;BE 1
15;Gómez et al.;null;BE 1
16;Gómez et al.;null;BE 1
17;Gómez et al.;null;BE 1
18;Gómez et al.;null;BE 1
19;Gómez et al.;null;BE 1
20;Gómez et al.;null;BE 1
21;Gómez et al.;null;BE 1
22;Gómez et al.;null;BE 1
23;Gómez et al.;null;BE 1
24;Gómez et al.;null;BE 1
25;Gómez et al.;null;BE 1
26;Gómez et al.;null;BE 1
27;Gómez et al.;null;BE 1
28;Gómez et al.;null;BE 1
29;Gómez et al.;null;BE 1
30;Gómez et al.;null;BE 1
31;Gómez et al.;null;BE 1
32;Gómez et al.;null;BE 1
33;Gómez et al.;null;BE 1
34;Gómez et al.;null;BE 1
35;Gómez et al.;null;BE 1
36;Gómez et al.;null;BE 1
37;Gómez et al.;null;BE 1
38;Gómez et al.;null;BE 1
39;Gómez et al.;null;BE 1
40;Gómez et al.;null;BE 1
41;Gómez et al.;null;BE 1
42;Gómez et al.;null;BE 1
43;Gómez et al.;null;BE 1
44;Gómez et al.;null;BE 1
45;Gómez et al.;null;BE 1
46;Gómez et al.;null;BE 1
47;Gómez et al.;null;BE 1
48;Gómez et al.;null;BE 1
49;Gómez et al.;null;BE 1
50;Gómez et al.;null;BE 1
51;Gómez et al.;null;BE 1
52;Gómez et al.;null;BE 1
53;Gómez et al.;null;BE 1
54;Gómez et al.;null;BE 1
55;Gómez et al.;null;BE 1
56;Gómez et al.;null;BE 1
57;Gómez et al.;null;BE 1
58;Gómez et al.;null;BE 1
59;Gómez et al.;null;BE 1
60;Gómez et al.;null;BE 1
61;Gómez et al.;null;BE 1
62;Gómez et al.;null;BE 1
63;Gómez et al.;null;BE 1
64;Gómez et al.;null;BE 1
65;Gómez et al.;null;BE 1
66;Gómez et al.;null;BE 1
67;Gómez et al.;null;BE 1
68;Gómez et al.;null;BE 1
69;Gómez et al.;null;BE 1
70;Gómez et al.;null;BE 1
71;Gómez et al.;0;BE 1
72;Gómez et al.;0;BE 1
73;Gómez et al.;0;BE 1
74;Gómez et al.;0;BE 1
75;Gómez et al.;0;BE 1
76;Gómez et al.;null;BE 1
77;Gómez et al.;null;BE 1
78;Gómez et al.;0;BE 1
79;Gómez et al.;0;BE 1
80;Gómez et al.;0;BE 1
81;Gómez et al.;9.732080619;BE 1
82;Gómez et al.;2.864099662;BE 1
83;Gómez et al.;3.329978763;BE 1
84;Gómez et al.;2.922801787;BE 1
85;Gómez et al.;4.901429248;BE 1
86;Gómez et al.;3.911907357;BE 1
87;Gómez et al.;4.123477762;BE 1
88;Gómez et al.;3.224121041;BE 1
89;Gómez et al.;3.730253564;BE 1
90;Gómez et al.;2.374562205;BE 1
91;Gómez et al.;2.749342422;BE 1
92;Gómez et al.;1.513459221;BE 1
93;Gómez et al.;1.273705093;BE 1
94;Gómez et al.;0.943103623;BE 1
95;Gómez et al.;1.373570606;BE 1
96;Gómez et al.;null;BE 1
97;Gómez et al.;null;BE 1
98;Gómez et al.;null;BE 1
99;Gómez et al.;0;BE 1
100;Gómez et al.;0;BE 1
101;Gómez et al.;0;BE 1
102;Gómez et al.;0;BE 1
103;Gómez et al.;0;BE 1
104;Gómez et al.;0;BE 1
105;Gómez et al.;0;BE 1
106;Gómez et al.;null;BE 1
107;Gómez et al.;0;BE 1
108;Gómez et al.;0;BE 1
109;Gómez et al.;0;BE 1
110;Gómez et al.;0;BE 1
111;Gómez et al.;0;BE 1
112;Gómez et al.;0;BE 1
113;Gómez et al.;0;BE 1
114;Gómez et al.;0;BE 1
115;Gómez et al.;0;BE 1
116;Gómez et al.;null;BE 1
117;Gómez et al.;null;BE 1
118;Gómez et al.;0;BE 1
119;Gómez et al.;0;BE 1
120;Gómez et al.;0;BE 1
121;Gómez et al.;null;BE 1
122;Gómez et al.;20.23700723;BE 1
123;Gómez et al.;4.697985139;BE 1
124;Gómez et al.;3.488556696;BE 1
125;Gómez et al.;3.991113512;BE 1
126;Gómez et al.;2.612224831;BE 1
127;Gómez et al.;5.898812943;BE 1
128;Gómez et al.;3.717164362;BE 1
129;Gómez et al.;4.583346355;BE 1
130;Gómez et al.;3.974321444;BE 1
131;Gómez et al.;4.965357379;BE 1
132;Gómez et al.;4.122344858;BE 1
133;Gómez et al.;4.309468444;BE 1
134;Gómez et al.;5.113042936;BE 1
135;Gómez et al.;3.939932348;BE 1
136;Gómez et al.;null;BE 1
137;Gómez et al.;null;BE 1
138;Gómez et al.;null;BE 1
139;Gómez et al.;0;BE 1
140;Gómez et al.;0;BE 1
141;Gómez et al.;0;BE 1
142;Gómez et al.;0;BE 1
143;Gómez et al.;0;BE 1
144;Gómez et al.;null;BE 1
145;Gómez et al.;0;BE 1
146;Gómez et al.;0;BE 1
147;Gómez et al.;0;BE 1
148;Gómez et al.;0;BE 1
149;Gómez et al.;0;BE 1
150;Gómez et al.;null;BE 1
151;Gómez et al.;0;BE 1
152;Gómez et al.;108.4089768;BE 1
153;Gómez et al.;3.114357286;BE 1
154;Gómez et al.;2.777831487;BE 1
155;Gómez et al.;6.216603001;BE 1
156;Gómez et al.;null;BE 1
157;Gómez et al.;null;BE 1
158;Gómez et al.;null;BE 1
159;Gómez et al.;0;BE 1
160;Gómez et al.;0;BE 1
161;Gómez et al.;0;BE 1
162;Gómez et al.;null;BE 1
163;Gómez et al.;0;BE 1
164;Gómez et al.;0;BE 1
165;Gómez et al.;0;BE 1
166;Gómez et al.;null;BE 1
167;Gómez et al.;0;BE 1
168;Gómez et al.;0;BE 1
169;Gómez et al.;0;BE 1
170;Gómez et al.;0;BE 1
171;Gómez et al.;0;BE 1
172;Gómez et al.;0;BE 1
173;Gómez et al.;0;BE 1
174;Gómez et al.;0;BE 1
175;Gómez et al.;34.16288888;BE 1
176;Gómez et al.;null;BE 1
177;Gómez et al.;null;BE 1
178;Gómez et al.;null;BE 1
179;Gómez et al.;0;BE 1
180;Gómez et al.;0;BE 1
181;Gómez et al.;46.52889284;BE 1
182;Gómez et al.;9.650304681;BE 1
183;Gómez et al.;9.725807837;BE 1
184;Gómez et al.;9.200462398;BE 1
185;Gómez et al.;11.40209518;BE 1
186;Gómez et al.;null;BE 1
187;Gómez et al.;15.29736925;BE 1
188;Gómez et al.;9.79812863;BE 1
189;Gómez et al.;8.187084267;BE 1
190;Gómez et al.;11.30156628;BE 1
191;Gómez et al.;10.08884759;BE 1
192;Gómez et al.;9.411938368;BE 1
193;Gómez et al.;9.364383861;BE 1
194;Gómez et al.;11.39711801;BE 1
195;Gómez et al.;8.796814478;BE 1
196;Gómez et al.;null;BE 1
197;Gómez et al.;null;BE 1
198;Gómez et al.;null;BE 1
199;Gómez et al.;0;BE 1
200;Gómez et al.;0;BE 1
201;Gómez et al.;0;BE 1
202;Gómez et al.;0;BE 1
203;Gómez et al.;0;BE 1
204;Gómez et al.;0;BE 1
205;Gómez et al.;null;BE 1
206;Gómez et al.;0;BE 1
207;Gómez et al.;0;BE 1
208;Gómez et al.;0;BE 1
209;Gómez et al.;0;BE 1
210;Gómez et al.;0;BE 1
211;Gómez et al.;14.73434196;BE 1
212;Gómez et al.;0.323104489;BE 1
213;Gómez et al.;0.049506762;BE 1
214;Gómez et al.;0.017808841;BE 1
215;Gómez et al.;0.009239492;BE 1
216;Gómez et al.;null;BE 1
217;Gómez et al.;null;BE 1
218;Gómez et al.;null;BE 1
219;Gómez et al.;0;BE 1
220;Gómez et al.;0;BE 1
221;Gómez et al.;0;BE 1
222;Gómez et al.;null;BE 1
223;Gómez et al.;0;BE 1
224;Gómez et al.;14.74996021;BE 1
225;Gómez et al.;1.398349082;BE 1
226;Gómez et al.;1.829152245;BE 1
227;Gómez et al.;2.030079821;BE 1
228;Gómez et al.;2.000627717;BE 1
229;Gómez et al.;2.607549775;BE 1
230;Gómez et al.;1.825274998;BE 1
231;Gómez et al.;1.586116883;BE 1
232;Gómez et al.;2.017784169;BE 1
233;Gómez et al.;2.31014647;BE 1
234;Gómez et al.;1.903168857;BE 1
235;Gómez et al.;2.383094696;BE 1
236;Gómez et al.;null;BE 1
237;Gómez et al.;null;BE 1
238;Gómez et al.;null;BE 1
239;Gómez et al.;0;BE 1
240;Gómez et al.;0;BE 1
241;Gómez et al.;2.699467159;BE 1
242;Gómez et al.;5.866061856;BE 1
243;Gómez et al.;5.480479982;BE 1
244;Gómez et al.;5.772691078;BE 1
245;Gómez et al.;5.538009824;BE 1
246;Gómez et al.;4.47395209;BE 1
247;Gómez et al.;5.713761185;BE 1
248;Gómez et al.;5.681173672;BE 1
249;Gómez et al.;5.544992842;BE 1
250;Gómez et al.;5.291781333;BE 1
251;Gómez et al.;5.050428324;BE 1
252;Gómez et al.;5.535186151;BE 1
253;Gómez et al.;5.783920808;BE 1
254;Gómez et al.;5.536063989;BE 1
255;Gómez et al.;5.769662189;BE 1
256;Gómez et al.;null;BE 1
257;Gómez et al.;null;BE 1
258;Gómez et al.;null;BE 1
259;Gómez et al.;0;BE 1
260;Gómez et al.;0;BE 1
261;Gómez et al.;0;BE 1
262;Gómez et al.;0;BE 1
263;Gómez et al.;0;BE 1
264;Gómez et al.;0;BE 1
265;Gómez et al.;0;BE 1
266;Gómez et al.;0;BE 1
267;Gómez et al.;0;BE 1
268;Gómez et al.;0;BE 1
269;Gómez et al.;0;BE 1
270;Gómez et al.;0;BE 1
271;Gómez et al.;null;BE 1
272;Gómez et al.;0;BE 1
273;Gómez et al.;0;BE 1
274;Gómez et al.;0;BE 1
275;Gómez et al.;0;BE 1
276;Gómez et al.;null;BE 1
277;Gómez et al.;null;BE 1
278;Gómez et al.;2.29801328;BE 1
279;Gómez et al.;15.43599806;BE 1
280;Gómez et al.;16.09001817;BE 1
281;Gómez et al.;15.61519009;BE 1
282;Gómez et al.;12.03801423;BE 1
283;Gómez et al.;9.589306023;BE 1
284;Gómez et al.;7.685369377;BE 1
285;Gómez et al.;12.1889525;BE 1
286;Gómez et al.;9.249080199;BE 1
287;Gómez et al.;12.78866079;BE 1
288;Gómez et al.;17.60085854;BE 1
289;Gómez et al.;14.80470715;BE 1
