Time;Hour;STA 6;STA 5;STA 4;STA 3;STA 2;STA 1
1;2021-01-06T17:49:10+01:00;0;0;0;0;1;1
2;2021-01-06T17:49:11+01:00;0;0;0;0;1;1
3;2021-01-06T17:49:12+01:00;0;0;0;0;1;1
4;2021-01-06T17:49:13+01:00;0;0;0;0;1;1
5;2021-01-06T17:49:14+01:00;0;0;0;0;1;1
6;2021-01-06T17:49:15+01:00;0;0;0;0;1;1
7;2021-01-06T17:49:16+01:00;0;0;0;0;1;1
8;2021-01-06T17:49:17+01:00;0;0;0;0;1;1
9;2021-01-06T17:49:18+01:00;0;0;0;0;1;1
10;2021-01-06T17:49:19+01:00;0;0;0;0;1;1
11;2021-01-06T17:49:20+01:00;0;0;0;0;1;1
12;2021-01-06T17:49:21+01:00;0;0;0;0;1;1
13;2021-01-06T17:49:22+01:00;0;0;0;0;1;1
14;2021-01-06T17:49:23+01:00;0;0;0;0;1;1
15;2021-01-06T17:49:24+01:00;1;0;1;1;1;1
16;2021-01-06T17:49:25+01:00;1;0;1;1;1;1
17;2021-01-06T17:49:26+01:00;1;0;1;1;1;1
18;2021-01-06T17:49:27+01:00;1;0;1;1;1;1
19;2021-01-06T17:49:28+01:00;1;0;1;1;1;1
20;2021-01-06T17:49:29+01:00;1;0;1;1;1;1
21;2021-01-06T17:49:30+01:00;1;0;1;1;1;1
22;2021-01-06T17:49:31+01:00;1;0;1;1;1;1
23;2021-01-06T17:49:32+01:00;1;0;1;1;1;1
24;2021-01-06T17:49:33+01:00;1;0;1;1;1;1
25;2021-01-06T17:49:34+01:00;1;0;1;1;1;1
26;2021-01-06T17:49:35+01:00;1;0;1;1;1;1
27;2021-01-06T17:49:36+01:00;1;0;1;1;1;1
28;2021-01-06T17:49:37+01:00;1;0;1;1;1;1
29;2021-01-06T17:49:38+01:00;1;0;1;1;1;1
30;2021-01-06T17:49:39+01:00;1;0;1;1;1;1
31;2021-01-06T17:49:40+01:00;1;0;1;1;1;1
32;2021-01-06T17:49:41+01:00;1;0;1;1;1;1
33;2021-01-06T17:49:42+01:00;1;0;1;1;1;1
34;2021-01-06T17:49:43+01:00;1;0;1;1;1;1
35;2021-01-06T17:49:44+01:00;0;0;0;0;0;0
36;2021-01-06T17:49:45+01:00;0;0;0;0;0;0
37;2021-01-06T17:49:46+01:00;0;0;0;0;0;0
38;2021-01-06T17:49:47+01:00;0;0;0;0;0;0
39;2021-01-06T17:49:48+01:00;0;0;0;0;0;0
40;2021-01-06T17:49:49+01:00;0;0;0;0;0;0
41;2021-01-06T17:49:50+01:00;0;0;0;0;0;0
42;2021-01-06T17:49:51+01:00;0;0;0;0;0;0
43;2021-01-06T17:49:52+01:00;0;0;0;0;0;0
44;2021-01-06T17:49:53+01:00;0;0;0;0;0;0
45;2021-01-06T17:49:54+01:00;0;0;0;0;0;0
46;2021-01-06T17:49:55+01:00;0;0;0;0;0;0
47;2021-01-06T17:49:56+01:00;0;0;0;0;0;0
48;2021-01-06T17:49:57+01:00;0;0;0;0;0;0
49;2021-01-06T17:49:58+01:00;0;0;0;0;0;0
50;2021-01-06T17:49:59+01:00;0;0;0;0;0;0
51;2021-01-06T17:50:00+01:00;0;0;0;0;0;0
52;2021-01-06T17:50:01+01:00;0;0;0;0;0;0
53;2021-01-06T17:50:02+01:00;0;0;0;0;0;0
54;2021-01-06T17:50:03+01:00;0;0;0;0;0;0
55;2021-01-06T17:50:04+01:00;0;0;0;0;0;0
56;2021-01-06T17:50:05+01:00;0;0;0;0;0;0
57;2021-01-06T17:50:06+01:00;0;0;0;0;0;0
58;2021-01-06T17:50:07+01:00;0;0;0;0;0;0
59;2021-01-06T17:50:08+01:00;0;0;0;0;0;0
60;2021-01-06T17:50:09+01:00;0;0;0;0;0;0
61;2021-01-06T17:50:10+01:00;0;0;0;0;0;0
62;2021-01-06T17:50:11+01:00;0;0;0;0;0;0
63;2021-01-06T17:50:12+01:00;0;0;0;0;0;0
64;2021-01-06T17:50:13+01:00;0;0;0;0;0;0
65;2021-01-06T17:50:14+01:00;0;0;0;0;0;0
66;2021-01-06T17:50:15+01:00;0;0;0;0;0;0
67;2021-01-06T17:50:16+01:00;0;0;0;0;0;0
68;2021-01-06T17:50:17+01:00;0;0;0;0;0;0
69;2021-01-06T17:50:18+01:00;0;0;0;0;0;0
70;2021-01-06T17:50:19+01:00;0;0;0;0;0;0
71;2021-01-06T17:50:20+01:00;0;0;0;0;0;0
72;2021-01-06T17:50:21+01:00;0;0;0;0;0;0
73;2021-01-06T17:50:22+01:00;0;0;0;0;0;0
74;2021-01-06T17:50:23+01:00;0;0;0;0;0;0
75;2021-01-06T17:50:24+01:00;1;0;1;1;1;1
76;2021-01-06T17:50:25+01:00;1;0;1;1;1;1
77;2021-01-06T17:50:26+01:00;1;0;1;1;1;1
78;2021-01-06T17:50:27+01:00;1;0;1;1;1;1
