Datetime;STA 6;STA 3;STA 4;STA 1;STA 2;STA 5
2021-01-06T17:49:10+01:00;-72;-54;null;null;null;null
2021-01-06T17:49:12+01:00;-72;-54;null;null;null;null
2021-01-06T17:49:13+01:00;-72;-54;null;null;null;null
2021-01-06T17:49:15+01:00;-72;-54;null;null;null;null
2021-01-06T17:49:27+01:00;null;-50;-49;null;null;null
2021-01-06T17:49:29+01:00;null;-50;-49;null;null;null
2021-01-06T17:49:30+01:00;null;-50;-49;null;null;null
2021-01-06T17:49:32+01:00;null;-50;-50;null;null;null
2021-01-06T17:49:34+01:00;null;-49;-50;null;null;null
2021-01-06T17:49:35+01:00;null;-49;-50;null;null;null
2021-01-06T17:49:36+01:00;null;-49;-50;null;null;null
2021-01-06T17:49:37+01:00;null;-49;-50;-41;null;null
2021-01-06T17:49:38+01:00;null;-49;-50;-42;-46;null
2021-01-06T17:49:39+01:00;null;-50;-50;-42;-44;null
2021-01-06T17:49:41+01:00;null;-49;null;-42;-43;null
2021-01-06T17:49:42+01:00;null;-49;null;-42;-43;null
2021-01-06T17:49:43+01:00;null;-49;null;-42;-43;null
2021-01-06T17:49:44+01:00;null;-49;null;-42;-43;null
2021-01-06T17:49:45+01:00;null;-50;null;-42;-43;null
2021-01-06T17:49:47+01:00;null;-50;null;null;-43;null
2021-01-06T17:49:48+01:00;null;-50;null;null;null;null
2021-01-06T17:49:49+01:00;null;-50;null;null;null;null
2021-01-06T17:49:50+01:00;null;-50;null;null;null;null
2021-01-06T17:49:51+01:00;null;-50;null;null;null;null
2021-01-06T17:50:09+01:00;null;-53;null;null;null;null
2021-01-06T17:50:10+01:00;-71;-53;null;null;null;null
2021-01-06T17:50:11+01:00;-71;-53;null;null;null;null
2021-01-06T17:50:12+01:00;-71;-53;null;null;null;null
2021-01-06T17:50:13+01:00;-71;-53;null;null;null;null
2021-01-06T17:50:14+01:00;-71;-53;null;null;null;null
2021-01-06T17:50:15+01:00;-71;null;null;null;null;null
2021-01-06T17:50:26+01:00;null;null;null;null;0;null
2021-01-06T17:50:27+01:00;null;null;null;null;-43;null
2021-01-06T17:50:28+01:00;null;null;null;null;-43;null
2021-01-06T17:50:30+01:00;null;null;0;null;-42;null
2021-01-06T17:50:31+01:00;null;null;-50;null;-42;null
2021-01-06T17:50:32+01:00;null;null;-50;null;-42;null
2021-01-06T17:50:33+01:00;null;null;-50;null;-42;null
2021-01-06T17:50:34+01:00;null;null;-50;null;-42;null
2021-01-06T17:50:35+01:00;null;null;-50;null;-42;null
2021-01-06T17:50:36+01:00;null;null;-50;null;-42;null
2021-01-06T17:50:37+01:00;null;null;-50;-38;-42;null
2021-01-06T17:50:38+01:00;null;null;-50;-39;-42;null
2021-01-06T17:50:39+01:00;null;null;-50;-39;-42;null
2021-01-06T17:50:40+01:00;null;null;null;-39;-41;null
2021-01-06T17:50:42+01:00;null;null;null;-39;-41;null
2021-01-06T17:50:43+01:00;null;null;null;-39;-41;null
2021-01-06T17:50:44+01:00;null;null;null;-39;-41;null
2021-01-06T17:50:46+01:00;null;null;null;-39;-41;null
