Time (sec), Single Slice Latency (ms), Static Slices Latency (ms), Adaptive Slices Latency (ms)
1,1.98,32.8,1.87
2,1.98,28.3,1.87
3,24.7,28.3,14.035
4,24.7,28.3,26.2
5,24.9,24.3,26.5
6,24.9,24.3,26.8
7,24.9,24.3,26.5
8,24.9,23.6,26.8
9,24.9,23.6,27.0
10,24.7,23.6,27.2
11,24.7,23.6,27.2
12,19.9,23.6,29.0
13,19.9,23.6,29.0
14,19.9,23.6,29.0
15,19.9,24.3,29.0
16,19.9,25.4,29.0
17,19.9,23.0,29.0
18,26.8,22.8,29.0
19,26.8,22.8,29.0
20,27.0,22.8,29.0
21,27.7,22.8,29.0
22,27.7,22.1,29.0
23,27.7,21.3,29.0
24,27.7,21.3,29.0
25,27.7,21.3,29.0
26,27.7,19.9,29.0
27,27.7,19.9,29.0
28,1.96,19.9,29.0
29,1.96,19.9,29.0
30,1.96,20.2,29.0
31,1.96,20.2,29.0
32,1.96,19.3,29.0
33,1.96,20.2,26.0
34,1.96,21.7,26.0
35,1.96,20.2,26.0
36,1.96,20.2,26.0
37,26.2,21.7,26.0
38,26.2,21.7,26.0
39,26.5,25.4,26.0
40,27.7,25.4,26.0
41,28.4,25.4,26.0
42,28.4,25.4,26.0
43,28.4,25.4,26.0
44,28.4,24.0,26.0
45,28.4,24.0,26.0
46,28.4,24.0,26.3
47,27.7,24.0,26.3
48,24.1,24.0,26.3
49,24.1,24.0,26.3
50,24.1,24.0,28.3
51,24.1,24.0,45.1
52,24.1,24.0,45.1
53,24.1,25.4,45.1
54,24.1,27.7,45.1
55,24.1,27.7,27.9
56,24.1,27.7,27.9
57,24.1,27.7,27.9
58,24.1,27.7,27.9
59,24.1,27.7,27.9
60,24.1,25.9,27.9
61,24.1,25.9,21.6
62,24.1,23.6,21.6
63,30.5,23.6,21.6
64,32.7,23.4,21.6
65,35.3,23.4,21.6
66,35.3,23.4,21.6
67,35.3,23.4,25.5
68,35.3,23.6,25.5
69,21.0,23.6,25.5
70,21.0,23.6,25.5
71,21.0,23.6,25.5
72,21.0,24.3,25.5
73,21.0,24.3,25.5
74,21.0,24.9,25.5
75,21.0,24.9,25.5
76,21.0,24.9,25.5
77,21.0,25.8,25.5
78,21.0,25.8,25.5
79,25.1,25.8,19.9
80,25.1,30.3,19.9
81,25.1,30.3,19.9
82,26.4,30.3,19.9
83,26.4,30.3,19.9
84,29.1,30.3,19.9
85,29.1,30.3,19.9
86,29.1,30.3,19.9
87,29.1,30.3,24.8
88,29.1,30.3,24.8
89,29.1,30.3,24.8
90,27.8,30.3,24.8
91,24.4,28.1,24.8
92,24.4,28.1,24.8
93,24.4,28.1,24.8
94,24.4,28.1,24.8
95,24.4,28.1,24.8
96,24.4,28.9,24.8
97,24.4,28.9,24.8
98,25.7,30.7,24.8
99,25.7,32.3,2.28
100,25.7,32.3,2.28
101,25.7,32.3,2.28
102,26.9,32.3,2.28
103,27.2,28.9,2.28
104,28.1,28.9,2.28
105,28.1,25.2,2.28
106,28.1,25.2,2.28
107,28.1,25.2,2.28
108,28.1,25.2,2.28
109,28.1,25.2,1.97
110,28.1,25.2,1.97
111,28.1,25.2,1.97
112,28.1,25.2,1.97
113,29.7,29.9,1.97
114,29.7,29.9,1.97
115,29.7,29.9,1.95
116,29.7,29.9,1.95
117,29.7,29.9,1.95
118,29.7,29.9,2.35
119,29.7,29.9,4.02
120,29.7,29.9,4.12
121,29.7,19.3,4.02
122,29.7,19.3,2.35
123,29.7,19.3,2.35
124,28.1,18.7,2.35
125,28.1,18.7,2.32
126,28.1,18.7,2.32
127,28.1,18.7,2.06
128,28.1,18.7,1.85
129,28.1,18.7,1.81
130,28.1,18.7,1.81
131,28.1,18.7,1.79
132,28.1,18.7,1.74
133,28.1,18.7,1.64
134,28.1,29.3,1.74
135,28.1,29.3,1.74
136,28.1,29.3,1.74
137,27.9,29.3,1.79
138,27.9,29.3,1.81
139,27.9,29.3,1.81
140,27.9,29.3,1.81
141,27.9,29.3,1.81
142,26.0,29.3,1.81
143,26.0,29.3,1.81
144,29.6,20.2,1.81
145,29.6,20.2,1.81
146,29.6,20.2,1.81
147,29.6,20.2,1.81
148,29.6,20.2,1.81
149,29.6,20.2,1.81
150,29.6,20.2,1.81
151,26.0,26.8,2.89
152,22.6,26.8,2.89
153,22.6,26.8,2.89
154,22.6,26.8,2.89
155,22.6,26.8,2.89
156,22.6,26.8,2.89
157,22.6,26.7,1.91
158,22.6,25.6,1.9
159,22.6,25.6,1.9
160,22.6,25.6,1.81
161,24.8,25.6,1.81
162,24.8,25.6,1.81
163,24.8,26.7,1.81
164,24.8,29.6,1.81
165,24.8,30.3,1.81
166,24.8,30.3,1.81
167,24.8,30.3,1.81
168,24.8,30.3,1.81
169,24.8,30.3,1.81
170,28.3,29.9,1.81
171,28.3,29.9,1.81
172,32.7,29.9,1.81
173,32.7,29.9,1.63
174,32.7,27.1,1.63
175,32.7,27.1,1.63
176,32.7,27.1,1.63
177,28.3,27.1,1.63
178,27.6,24.9,1.63
179,27.2,24.9,1.63
180,27.2,27.1,1.63
